id	name
D00123	Cyanamide (JP17)
D00131	Disulfiram (JP17/USP/INN)
D07257	Lonidamine (INN)
D08970	Piragliatin (USAN)
D10691	Bempedoic acid (USAN/INN)
D11090	Ivosidenib (USAN/INN)
D01805	Aceglatone (JAN/INN)
D01688	Epalrestat (JP17/INN)
D01715	Risarestat (INN)
D01842	Fidarestat (JAN/INN)
D02323	Tolrestat (USAN/INN)
D02328	Zopolrestat (USAN/INN)
D02835	Alrestatin sodium (USAN)
D03803	Lidorestat (USAN)
D03805	Minalrestat (USAN/INN)
D03806	Ponalrestat (USAN/INN)
D03807	Zenarestat (USAN/INN)
D05893	Sorbinil (USAN/INN)
D06403	Ranirestat (JAN/INN)
D00216	Acarbose (JAN/USAN/INN)
D00625	Miglitol (JP17/USAN/INN)
D01665	Voglibose (JP17/USAN/INN)
D03342	Camiglibose (USAN)
D09779	Emiglitate (JAN/INN)
D05292	Oxfenicine (USAN/INN)
D01202	Melinamide (JAN)
D03012	Avasimibe (USAN/INN)
D03447	Cetaben sodium (USAN)
D03734	Eldacimibe (USAN/INN)
D03735	Lecimibide (USAN)
D00564	Warfarin sodium (USP)
D01280	Warfarin potassium (JP17)
D03798	Dicumarol (USAN)
D05177	Nitisinone (JAN/USAN/INN)
D05457	Phenprocoumon (USAN/INN)
D07064	Acenocoumarol (INN)
D07131	Ethyl biscoumacetate (INN)
D07134	Flocoumafen (JAN)
D07135	Clorindione (INN)
D07136	Diphenadione (INN)
D07137	Tioclomarol (INN)
D07969	Fluindione (INN)
D08354	Phenindione (INN)
D08682	Warfarin (INN)
D09676	Tecarfarin (USAN/INN)
D09677	Tecarfarin sodium (USAN)
D00152	Phloroglucinol (JAN)
D00153	Testolactone (USP/INN)
D00156	Glycyrrhetinic acid (JAN)
D00321	Finasteride (JAN/USP/INN)
D00351	Ketoconazole (JP17/USP)
D00410	Metyrapone (JP17/USP/INN)
D00420	Mitotane (JAN/USP/INN)
D00574	Aminoglutethimide (USP/INN)
D00960	Anastrozole (JAN/USAN/INN)
D00963	Exemestane (JAN/USP/INN)
D00964	Letrozole (JAN/USP/INN)
D01134	Epristeride (JAN/USAN/INN)
D01180	Trilostane (JAN/USAN)
D01259	Flopropione (JP17/INN)
D01899	Carbenoxolone sodium (JAN/USAN)
D02028	Diammonium glycyrrhizinate (JAN)
D02264	Dipotassium glycyrrhizinate (JAN)
D02451	Fadrozole hydrochloride (USAN)
D03107	Bexlosteride (USAN/INN)
D03749	Plomestane (USAN/INN)
D03778	Fadrozole hydrochloride hydrate (JAN)
D03781	Liarozole fumarate (USAN)
D03784	Liarozole hydrochloride (USAN)
D03786	Vorozole (USAN/INN)
D03820	Dutasteride (JAN/USAN/INN)
D04035	Epostane (USAN/INN)
D04498	Idronoxil (USAN/INN)
D04646	Izonsteride (USAN/INN)
D04987	Ammonium glycyrrhizate (USAN)
D05019	Metyrapone tartrate (USAN)
D05746	Rogletimide (USAN/INN)
D07260	Formestane (INN)
D07615	Carbenoxolone (INN)
D07940	Fadrozole (INN)
D08369	Polyphloroglucinol phosphate
D09701	Abiraterone acetate (JAN/USAN)
D09915	Irosustat (USAN/INN)
D10125	Galeterone (USAN)
D10146	Orteronel (JAN/USAN)
D11061	Osilodrostat (USAN/INN)
D07917	Esomeprazole (INN)
D07130	Carglumic acid (JAN/USAN/INN)
D09018	Tilarginine acetate (USAN)
D10386	Cindunistat (USAN/INN)
D10419	Cindunistat hydrochloride maleate (USAN)
D00155	Pentostatin (JAN/USAN/INN)
D00161	Mercaptopurine (USP)
D00224	Allopurinol (JP17/USP/INN)
