path:hsa00010	Glycolysis / Gluconeogenesis	9606.ENSP00000359991;9606.ENSP00000384774;9606.ENSP00000324105;9606.ENSP00000305995;9606.ENSP00000302393;9606.ENSP00000226253;9606.ENSP00000272252;9606.ENSP00000412189;9606.ENSP00000234590;9606.ENSP00000362413;9606.ENSP00000371393;9606.ENSP00000364475;9606.ENSP00000295266;9606.ENSP00000297283;9606.ENSP00000269097;9606.ENSP00000223366;9606.ENSP00000336927;9606.ENSP00000253801;9606.ENSP00000280346;9606.ENSP00000378359;9606.ENSP00000420269;9606.ENSP00000292432;9606.ENSP00000346643;9606.ENSP00000269848;9606.ENSP00000216780;9606.ENSP00000253382;9606.ENSP00000345774;9606.ENSP00000229319;9606.ENSP00000363988;9606.ENSP00000225740;9606.ENSP00000307241;9606.ENSP00000296412;9606.ENSP00000332256;9606.ENSP00000346827;9606.ENSP00000342032;9606.ENSP00000261733;9606.ENSP00000445175;9606.ENSP00000312250;9606.ENSP00000229277;9606.ENSP00000229239;9606.ENSP00000290573;9606.ENSP00000229270;9606.ENSP00000370517;9606.ENSP00000255084;9606.ENSP00000345555;9606.ENSP00000205402;9606.ENSP00000319814;9606.ENSP00000280706;9606.ENSP00000316924;9606.ENSP00000265512;9606.ENSP00000387123;9606.ENSP00000364512;9606.ENSP00000345771;9606.ENSP00000306606;9606.ENSP00000280704;9606.ENSP00000364486;9606.ENSP00000366927;9606.ENSP00000312606;9606.ENSP00000361064;9606.ENSP00000339933;9606.ENSP00000209668;9606.ENSP00000320171;9606.ENSP00000222286
path:hsa00020	Citrate cycle (TCA cycle)	9606.ENSP00000364649;9606.ENSP00000377446;9606.ENSP00000342056;9606.ENSP00000295266;9606.ENSP00000356953;9606.ENSP00000217901;9606.ENSP00000355518;9606.ENSP00000222673;9606.ENSP00000363216;9606.ENSP00000327070;9606.ENSP00000280346;9606.ENSP00000216780;9606.ENSP00000299518;9606.ENSP00000364699;9606.ENSP00000307241;9606.ENSP00000253792;9606.ENSP00000260985;9606.ENSP00000216254;9606.ENSP00000264932;9606.ENSP00000205402;9606.ENSP00000319814;9606.ENSP00000419325;9606.ENSP00000367923;9606.ENSP00000377527;9606.ENSP00000331897;9606.ENSP00000438144;9606.ENSP00000309477;9606.ENSP00000370223;9606.ENSP00000335304
path:hsa00030	Pentose phosphate pathway	9606.ENSP00000270776;9606.ENSP00000226253;9606.ENSP00000371393;9606.ENSP00000364475;9606.ENSP00000405455;9606.ENSP00000352401;9606.ENSP00000253303;9606.ENSP00000336927;9606.ENSP00000252603;9606.ENSP00000321259;9606.ENSP00000361512;9606.ENSP00000358931;9606.ENSP00000269848;9606.ENSP00000363988;9606.ENSP00000424595;9606.ENSP00000416583;9606.ENSP00000365601;9606.ENSP00000280605;9606.ENSP00000283646;9606.ENSP00000370517;9606.ENSP00000377192;9606.ENSP00000389175;9606.ENSP00000366620;9606.ENSP00000381504;9606.ENSP00000345771;9606.ENSP00000364486;9606.ENSP00000306817
path:hsa00040	Pentose and glucuronate interconversions	9606.ENSP00000362549;9606.ENSP00000338703;9606.ENSP00000352401;9606.ENSP00000303356;9606.ENSP00000334276;9606.ENSP00000298248;9606.ENSP00000319501;9606.ENSP00000285930;9606.ENSP00000304811;9606.ENSP00000305221;9606.ENSP00000362508;9606.ENSP00000267814;9606.ENSP00000369442;9606.ENSP00000362513;9606.ENSP00000221403;9606.ENSP00000207870;9606.ENSP00000385478;9606.ENSP00000265403;9606.ENSP00000418532;9606.ENSP00000352584;9606.ENSP00000387888;9606.ENSP00000362525;9606.ENSP00000346768;9606.ENSP00000387683;9606.ENSP00000312606;9606.ENSP00000302728;9606.ENSP00000341045;9606.ENSP00000343838;9606.ENSP00000303174;9606.ENSP00000304845;9606.ENSP00000251566;9606.ENSP00000320401
path:hsa00051	Fructose and mannose metabolism	9606.ENSP00000384774;9606.ENSP00000356047;9606.ENSP00000226253;9606.ENSP00000359935;9606.ENSP00000179259;9606.ENSP00000369100;9606.ENSP00000268261;9606.ENSP00000364475;9606.ENSP00000398803;9606.ENSP00000336927;9606.ENSP00000378360;9606.ENSP00000346643;9606.ENSP00000292432;9606.ENSP00000269848;9606.ENSP00000285930;9606.ENSP00000363988;9606.ENSP00000318318;9606.ENSP00000267814;9606.ENSP00000290573;9606.ENSP00000364145;9606.ENSP00000370517;9606.ENSP00000229270;9606.ENSP00000315925;9606.ENSP00000370194;9606.ENSP00000352584;9606.ENSP00000232375;9606.ENSP00000216259;9606.ENSP00000345771;9606.ENSP00000364486;9606.ENSP00000345974;9606.ENSP00000288078
path:hsa00052	Galactose metabolism	9606.ENSP00000384774;9606.ENSP00000264162;9606.ENSP00000225614;9606.ENSP00000272252;9606.ENSP00000368119;9606.ENSP00000338703;9606.ENSP00000371393;9606.ENSP00000269097;9606.ENSP00000363621;9606.ENSP00000223366;9606.ENSP00000326227;9606.ENSP00000253801;9606.ENSP00000346643;9606.ENSP00000292432;9606.ENSP00000269848;9606.ENSP00000285930;9606.ENSP00000218516;9606.ENSP00000264382;9606.ENSP00000290573;9606.ENSP00000447378;9606.ENSP00000306920;9606.ENSP00000370517;9606.ENSP00000305692;9606.ENSP00000301046;9606.ENSP00000310696;9606.ENSP00000352584;9606.ENSP00000364512;9606.ENSP00000345771;9606.ENSP00000369055
path:hsa00053	Ascorbate and aldarate metabolism	9606.ENSP00000362549;9606.ENSP00000253303;9606.ENSP00000334276;9606.ENSP00000304811;9606.ENSP00000345774;9606.ENSP00000305221;9606.ENSP00000362508;9606.ENSP00000346827;9606.ENSP00000261733;9606.ENSP00000362513;9606.ENSP00000216075;9606.ENSP00000265403;9606.ENSP00000418532;9606.ENSP00000387123;9606.ENSP00000387888;9606.ENSP00000362525;9606.ENSP00000346768;9606.ENSP00000387683;9606.ENSP00000366927;9606.ENSP00000341045;9606.ENSP00000343838;9606.ENSP00000303174;9606.ENSP00000304845;9606.ENSP00000319501;9606.ENSP00000251566;9606.ENSP00000320401
path:hsa00061	Fatty acid biosynthesis	9606.ENSP00000348429;9606.ENSP00000281455;9606.ENSP00000350012;9606.ENSP00000339787;9606.ENSP00000280701;9606.ENSP00000344789;9606.ENSP00000252669;9606.ENSP00000258873;9606.ENSP00000341044;9606.ENSP00000290429;9606.ENSP00000296869;9606.ENSP00000304592
path:hsa00062	Fatty acid elongation	9606.ENSP00000323071;9606.ENSP00000357804;9606.ENSP00000357535;9606.ENSP00000361536;9606.ENSP00000238651;9606.ENSP00000346693;9606.ENSP00000261875;9606.ENSP00000285093;9606.ENSP00000325136;9606.ENSP00000367086;9606.ENSP00000311224;9606.ENSP00000215567;9606.ENSP00000263702;9606.ENSP00000359022;9606.ENSP00000278353;9606.ENSP00000394863;9606.ENSP00000355308;9606.ENSP00000402634;9606.ENSP00000357807;9606.ENSP00000258884;9606.ENSP00000358831;9606.ENSP00000366240;9606.ENSP00000419503;9606.ENSP00000304736;9606.ENSP00000373153;9606.ENSP00000354608;9606.ENSP00000370023
path:hsa00071	Fatty acid degradation	9606.ENSP00000301729;9606.ENSP00000357535;9606.ENSP00000265641;9606.ENSP00000231887;9606.ENSP00000296869;9606.ENSP00000409612;9606.ENSP00000281455;9606.ENSP00000378359;9606.ENSP00000420269;9606.ENSP00000350012;9606.ENSP00000339787;9606.ENSP00000311095;9606.ENSP00000333664;9606.ENSP00000285093;9606.ENSP00000345774;9606.ENSP00000325136;9606.ENSP00000356015;9606.ENSP00000242592;9606.ENSP00000233710;9606.ENSP00000296412;9606.ENSP00000346827;9606.ENSP00000293217;9606.ENSP00000261733;9606.ENSP00000252669;9606.ENSP00000360541;9606.ENSP00000265838;9606.ENSP00000265512;9606.ENSP00000357873;9606.ENSP00000387123;9606.ENSP00000348429;9606.ENSP00000306606;9606.ENSP00000348775;9606.ENSP00000349297;9606.ENSP00000258873;9606.ENSP00000360958;9606.ENSP00000366927;9606.ENSP00000369461;9606.ENSP00000209668;9606.ENSP00000370023;9606.ENSP00000319343;9606.ENSP00000312189;9606.ENSP00000222214
