id	name
D01392	Mizoribine (JP18/INN)
D10901	Enasidenib (USAN/INN)
D11044	Enasidenib mesylate (USAN)
D11090	Ivosidenib (JAN/USAN/INN)
D12483	Olutasidenib (USAN/INN)
D12708	Crelosidenib (USAN)
D12717	Crelosidenib gentisate (USAN)
D05292	Oxfenicine (USAN/INN)
D11186	Olumacostat glasaretil (USAN/INN)
D11640	Firsocostat (USAN/INN)
D11902	Clesacostat (USAN)
D11903	Clesacostat tromethamine (USAN)
D12391	Denifanstat (USAN/INN)
D11695	Pegzilarginase (USAN/INN)
D11447	Arfolitixorin (USAN/INN)
D12387	Fosgemcitabine palabenamide (USAN/INN)
D12388	Fosifloxuridine nafalbenamide
D12465	Doxecitine (USAN/INN)
D12466	Doxribtimine (USAN/INN)
D12528	Arfolitixorin sulfate (JAN)
D00123	Cyanamide (JP18)
D00131	Disulfiram (JP18/USP/INN)
D07257	Lonidamine (INN)
D08970	Piragliatin (USAN)
D11342	Dorzagliatin (USAN)
D11408	Mitapivat sulfate (USAN)
D12320	Cadisegliatin (USAN)
D12362	Etavopivat (USAN/INN)
D10691	Bempedoic acid (JAN/USAN/INN)
D11834	Vorasidenib (USAN/INN)
D11835	Vorasidenib citrate (USAN)
D01805	Aceglatone (JAN/INN)
D01688	Epalrestat (JP18/INN)
D01715	Risarestat (INN)
D01842	Fidarestat (JAN/INN)
D02323	Tolrestat (USAN/INN)
D02328	Zopolrestat (USAN/INN)
D02835	Alrestatin sodium (USAN)
D03803	Lidorestat (USAN)
D03805	Minalrestat (USAN/INN)
D03806	Ponalrestat (USAN/INN)
D03807	Zenarestat (USAN/INN)
D05893	Sorbinil (USAN/INN)
D06403	Ranirestat (JAN/INN)
D12384	Govorestat (USAN/INN)
D12390	Caficrestat (USAN/INN)
D00216	Acarbose (JAN/USAN/INN)
D00625	Miglitol (JP18/USAN/INN)
D01665	Voglibose (JP18/USAN/INN)
D03342	Camiglibose (USAN)
D09605	Duvoglustat (USAN/INN)
D09606	Duvoglustat hydrochloride (USAN)
