id	name	description	classes	symbols	genes_external_ids	diseases_ids	drugs_ids	compounds_ids
hsa01100	Metabolic pathways						D01392
hsa01200	Carbon metabolism	Carbon metabolism is the most basic aspect of life. This map presents an overall view of central carbon metabolism, where the number of carbons is shown for each compound denoted by a circle, excluding a cofactor (CoA, CoM, THF, or THMPT) that is replaced by an asterisk. The map contains carbon utilization pathways of glycolysis (map00010), pentose phosphate pathway (map00030), and citrate cycle (map00020), and six known carbon fixation pathways (map00710 and map00720) as well as some pathways of methane metabolism (map00680). The six carbon fixation pathways are: (1) reductive pentose phosphate cycle (Calvin cycle) in plants and cyanobacteria that perform oxygenic photosynthesis, (2) reductive citrate cycle in photosynthetic green sulfur bacteria and some chemolithoautotrophs, (3) 3-hydroxypropionate bi-cycle in photosynthetic green nonsulfur bacteria, two variants of 4-hydroxybutyrate pathways in Crenarchaeota called (4) hydroxypropionate-hydroxybutyrate cycle and (5) dicarboxylate-hydroxybutyrate cycle, and (6) reductive acetyl-CoA pathway in methanogenic bacteria.
hsa01210	2-Oxocarboxylic acid metabolism	2-Oxocarboxylic acids, also called 2-oxo acids and alpha-keto acids, are the most elementary set of metabolites that includes pyruvate (2-oxopropanoate), 2-oxobutanoate, oxaloacetate (2-oxosuccinate) and 2-oxoglutarate. This diagram illustrates the architecture of chain extension and modification reaction modules for 2-oxocarboxylic acids. The chain extension module RM001 is a tricarboxylic pathway where acetyl-CoA derived carbon is used to extend the chain length by one. The chain modification modules RM002 (including RM032) and RM033, together with a reductive amination step (RC00006 or RC00036), generate basic and branched-chain amino acids, respectively. The modification module RM030 is used in the biosynthesis of glucosinolates, a class of plant secondary metabolites, for conversion to oxime followed by addition of thio-glucose moiety. Furthermore, the chain extension from 2-oxoadipate to 2-oxosuberate is followed by coenzyme B biosynthesis in methonogenic archaea.					D10901,D11044,D11090,D12483,D12708,D12717
hsa01212	Fatty acid metabolism						D05292,D11186,D11640,D11902,D11903,D12391
hsa01230	Biosynthesis of amino acids	This map presents a modular architecture of the biosynthesis pathways of twenty amino acids, which may be viewed as consisting of the core part and its extensions. The core part is the KEGG module for conversion of three-carbon compounds from glyceraldehyde-3P to pyruvate [MD:M00002], together with the pathways around serine and glycine. This KEGG module is the most conserved one in the KEGG MODULE database and is found in almost all the completely sequenced genomes. The extensions are the pathways containing the reaction modules RM001, RM033, RM032, and RM002 for biosynthesis of branched-chain amino acids (left) and basic amino acids (bottom), and the pathways for biosynthesis of histidine and aromatic amino acids (top right). It is interesting to note that the so-called essential amino acids that cannot be synthesized in human and other organisms generally appear in these extensions. Furthermore, the bottom extension of basic amino acids appears to be most divergent containing multiple pathways for lysine biosynthesis and multiple gene sets for arginine biosynthesis.					D10901,D11044,D11695
hsa01232	Nucleotide metabolism						D11447,D12387,D12388,D12465,D12466,D12528
hsa01250	Biosynthesis of nucleotide sugars
hsa01240	Biosynthesis of cofactors
hsa00010	Glycolysis / Gluconeogenesis	Glycolysis is the process of converting glucose into pyruvate and generating small amounts of ATP (energy) and NADH (reducing power). It is a central pathway that produces important precursor metabolites: six-carbon compounds of glucose-6P and fructose-6P and three-carbon compounds of glycerone-P, glyceraldehyde-3P, glycerate-3P, phosphoenolpyruvate, and pyruvate [MD:M00001]. Acetyl-CoA, another important precursor metabolite, is produced by oxidative decarboxylation of pyruvate [MD:M00307]. When the enzyme genes of this pathway are examined in completely sequenced genomes, the reaction steps of three-carbon compounds from glycerone-P to pyruvate form a conserved core module [MD:M00002], which is found in almost all organisms and which sometimes contains operon structures in bacterial genomes. Gluconeogenesis is a synthesis pathway of glucose from noncarbohydrate precursors. It is essentially a reversal of glycolysis with minor variations of alternative paths [MD:M00003].	Metabolism,Carbohydrate metabolism	['HK3', 'HK1', 'HK2', 'HKDC1', 'GCK', 'GPI', 'PFKM', 'PFKP', 'PFKL', 'FBP1', 'FBP2', 'ALDOC', 'ALDOA', 'ALDOB', 'TPI1', 'GAPDH', 'GAPDHS', 'PGK2', 'PGK1', 'PGAM1', 'PGAM2', 'PGAM4', 'ENO3', 'ENO2', 'ENO1', 'ENO4', 'PKM', 'PKLR', 'PDHA2', 'PDHA1', 'PDHB', 'DLAT', 'DLD', 'LDHAL6A', 'LDHAL6B', 'LDHA', 'LDHB', 'LDHC', 'ADH1A', 'ADH1B', 'ADH1C', 'ADH7', 'ADH4', 'ADH5', 'ADH6', 'AKR1A1', 'ALDH2', 'ALDH3A2', 'ALDH1B1', 'ALDH7A1', 'ALDH9A1', 'ALDH3B1', 'ALDH3B2', 'ALDH3A1', 'ACSS1', 'ACSS2', 'GALM', 'PGM1', 'PGM2', 'G6PC1', 'G6PC2', 'G6PC3', 'ADPGK', 'BPGM', 'MINPP1', 'PCK1', 'PCK2']	['ENSG00000160883', 'ENSG00000156515', 'ENSG00000159399', 'ENSG00000156510', 'ENSG00000106633', 'ENSG00000105220', 'ENSG00000152556', 'ENSG00000067057', 'ENSG00000141959', 'ENSG00000165140', 'ENSG00000130957', 'ENSG00000109107', 'ENSG00000149925', 'ENSG00000136872', 'ENSG00000111669', 'ENSG00000111640', 'ENSG00000105679', 'ENSG00000170950', 'ENSG00000102144', 'ENSG00000171314', 'ENSG00000164708', 'ENSG00000226784', 'ENSG00000108515', 'ENSG00000111674', 'ENSG00000074800', 'ENSG00000188316', 'ENSG00000067225', 'ENSG00000143627', 'ENSG00000163114', 'ENSG00000131828', 'ENSG00000168291', 'ENSG00000150768', 'ENSG00000091140', 'ENSG00000166800', 'ENSG00000171989', 'ENSG00000288299', 'ENSG00000111716', 'ENSG00000166796', 'ENSG00000187758', 'ENSG00000196616', 'ENSG00000248144', 'ENSG00000196344', 'ENSG00000198099', 'ENSG00000197894', 'ENSG00000172955', 'ENSG00000117448', 'ENSG00000111275', 'ENSG00000072210', 'ENSG00000137124', 'ENSG00000164904', 'ENSG00000143149', 'ENSG00000006534', 'ENSG00000132746', 'ENSG00000108602', 'ENSG00000154930', 'ENSG00000131069', 'ENSG00000143891', 'ENSG00000079739', 'ENSG00000169299', 'ENSG00000131482', 'ENSG00000278373', 'ENSG00000141349', 'ENSG00000159322', 'ENSG00000172331', 'ENSG00000107789', 'ENSG00000124253', 'ENSG00000285241']		D00123,D00131,D07257,D08970,D11342,D11408,D12320,D12362	C00022,C00024,C00031,C00033,C00036,C00068,C00074,C00084,C00085,C00103,C00111,C00118,C00186,C00197,C00221,C00236,C00267,C00354,C00469,C00631,C00668,C01159,C01172,C01451,C05125,C06186,C06187,C06188,C15972,C15973,C16255
hsa00020	Citrate cycle (TCA cycle)	The citrate cycle (TCA cycle, Krebs cycle) is an important aerobic pathway for the final steps of the oxidation of carbohydrates and fatty acids. The cycle starts with acetyl-CoA, the activated form of acetate, derived from glycolysis and pyruvate oxidation for carbohydrates and from beta oxidation of fatty acids. The two-carbon acetyl group in acetyl-CoA is transferred to the four-carbon compound of oxaloacetate to form the six-carbon compound of citrate. In a series of reactions two carbons in citrate are oxidized to CO2 and the reaction pathway supplies NADH for use in the oxidative phosphorylation and other metabolic processes. The pathway also supplies important precursor metabolites including 2-oxoglutarate. At the end of the cycle the remaining four-carbon part is transformed back to oxaloacetate. According to the genome sequence data, many organisms seem to lack genes for the full cycle [MD:M00009], but contain genes for specific segments [MD:M00010 M00011].	Metabolism,Carbohydrate metabolism	['CS', 'ACLY', 'ACO2', 'ACO1', 'IDH1', 'IDH2', 'IDH3B', 'IDH3G', 'IDH3A', 'OGDHL', 'OGDH', 'DLST', 'DLD', 'SUCLG1', 'SUCLG2', 'SUCLA2', 'SDHA', 'SDHB', 'SDHC', 'SDHD', 'FH', 'MDH1', 'MDH2', 'PC', 'PCK1', 'PCK2', 'PDHA2', 'PDHA1', 'PDHB', 'DLAT']	['ENSG00000062485', 'ENSG00000131473', 'ENSG00000100412', 'ENSG00000122729', 'ENSG00000138413', 'ENSG00000182054', 'ENSG00000101365', 'ENSG00000067829', 'ENSG00000166411', 'ENSG00000197444', 'ENSG00000105953', 'ENSG00000119689', 'ENSG00000091140', 'ENSG00000163541', 'ENSG00000172340', 'ENSG00000136143', 'ENSG00000073578', 'ENSG00000117118', 'ENSG00000143252', 'ENSG00000204370', 'ENSG00000091483', 'ENSG00000014641', 'ENSG00000146701', 'ENSG00000173599', 'ENSG00000124253', 'ENSG00000285241', 'ENSG00000163114', 'ENSG00000131828', 'ENSG00000168291', 'ENSG00000150768']		D10691,D11090,D11834,D11835,D12483,D12708,D12717	C00022,C00024,C00026,C00036,C00042,C00068,C00074,C00091,C00122,C00149,C00158,C00311,C00417,C05125,C05379,C05381,C15972,C15973,C16254,C16255
