,genes,proteins
0,ENSG00000127481,"['ENSP00000364366', 'ENSP00000364372', 'ENSP00000364373', 'ENSP00000364403', 'ENSP00000395313', 'ENSP00000404897']"
1,ENSG00000163291,"['ENSP00000344203', 'ENSP00000378959', 'ENSP00000420848', 'ENSP00000421981', 'ENSP00000422357', 'ENSP00000425080', 'ENSP00000426875']"
2,ENSG00000137720,"['ENSP00000260276', 'ENSP00000431180', 'ENSP00000432128', 'ENSP00000433224', 'ENSP00000435864']"
3,ENSG00000166884,ENSP00000300127
4,ENSG00000149346,"['ENSP00000335557', 'ENSP00000432784']"
5,ENSG00000181562,ENSP00000315098
6,ENSG00000255561,"['ENSP00000260257', 'ENSP00000431629', 'ENSP00000435572']"
7,ENSG00000175595,"['ENSP00000310520', 'ENSP00000459933', 'ENSP00000461322', 'ENSP00000461883', 'ENSP00000506854', 'ENSP00000507274', 'ENSP00000507912']"
8,ENSG00000146416,"['ENSP00000275235', 'ENSP00000350509', 'ENSP00000356568', 'ENSP00000356573', 'ENSP00000405048', 'ENSP00000407817', 'ENSP00000473952', 'ENSP00000485875', 'ENSP00000493676']"
9,ENSG00000178125,"['ENSP00000315035', 'ENSP00000429721', 'ENSP00000508980']"
10,ENSG00000118526,"['ENSP00000237316', 'ENSP00000356857']"
11,ENSG00000166111,"['ENSP00000447275', 'ENSP00000447583', 'ENSP00000479104']"
12,ENSG00000157613,"['ENSP00000431677', 'ENSP00000436574', 'ENSP00000481956']"
13,ENSG00000123607,"['ENSP00000243344', 'ENSP00000376460', 'ENSP00000498617', 'ENSP00000505208', 'ENSP00000505248', 'ENSP00000505354', 'ENSP00000505492', 'ENSP00000505499', 'ENSP00000505632', 'ENSP00000505644', 'ENSP00000505673', 'ENSP00000505921', 'ENSP00000506095', 'ENSP00000506121', 'ENSP00000506245', 'ENSP00000506276', 'ENSP00000506400', 'ENSP00000506449', 'ENSP00000506496', 'ENSP00000506607', 'ENSP00000506639']"
14,ENSG00000254415,ENSP00000354090
15,ENSG00000137491,"['ENSP00000289575', 'ENSP00000388912', 'ENSP00000389653', 'ENSP00000431192', 'ENSP00000431324', 'ENSP00000432889', 'ENSP00000433872', 'ENSP00000434112', 'ENSP00000434742', 'ENSP00000435384', 'ENSP00000436324', 'ENSP00000436513']"
16,ENSG00000165025,"['ENSP00000364898', 'ENSP00000364899', 'ENSP00000364904', 'ENSP00000364907']"
17,ENSG00000153774,"['ENSP00000283882', 'ENSP00000455564', 'ENSP00000462862', 'ENSP00000481200']"
18,ENSG00000170633,"['ENSP00000355137', 'ENSP00000376257', 'ENSP00000376258', 'ENSP00000451724', 'ENSP00000452096', 'ENSP00000452200', 'ENSP00000452321', 'ENSP00000477987']"
19,ENSG00000186231,"['ENSP00000358258', 'ENSP00000358265', 'ENSP00000389310', 'ENSP00000440382', 'ENSP00000441527', 'ENSP00000445453', 'ENSP00000482012']"
20,ENSG00000091513,"['ENSP00000385834', 'ENSP00000401505', 'ENSP00000417468', 'ENSP00000418396', 'ENSP00000418716', 'ENSP00000419338', 'ENSP00000419714']"
21,ENSG00000213523,"['ENSP00000337513', 'ENSP00000473378']"
22,ENSG00000107779,"['ENSP00000361107', 'ENSP00000483569', 'ENSP00000489707', 'ENSP00000490273', 'ENSP00000492290']"
23,ENSG00000162032,"['ENSP00000301717', 'ENSP00000455098', 'ENSP00000457206']"
24,ENSG00000107831,"['ENSP00000321797', 'ENSP00000321945', 'ENSP00000340039', 'ENSP00000344306', 'ENSP00000473299', 'ENSP00000484420']"
25,ENSG00000157110,"['ENSP00000287771', 'ENSP00000318102', 'ENSP00000340176', 'ENSP00000380486', 'ENSP00000427896', 'ENSP00000428675', 'ENSP00000429086', 'ENSP00000430342', 'ENSP00000430370', 'ENSP00000430638', 'ENSP00000430893']"
26,ENSG00000174327,ENSP00000309751
27,ENSG00000167476,ENSP00000300961
28,ENSG00000010610,"['ENSP00000011653', 'ENSP00000440720', 'ENSP00000445167']"
29,ENSG00000166595,"['ENSP00000387471', 'ENSP00000455028', 'ENSP00000462376', 'ENSP00000463700']"
30,ENSG00000166046,"['ENSP00000299045', 'ENSP00000447174', 'ENSP00000447416', 'ENSP00000447457', 'ENSP00000448064', 'ENSP00000448629', 'ENSP00000448952', 'ENSP00000449123', 'ENSP00000449844']"
31,ENSG00000128340,"['ENSP00000249071', 'ENSP00000385270', 'ENSP00000385590', 'ENSP00000385666', 'ENSP00000403778']"
32,ENSG00000108798,"['ENSP00000225941', 'ENSP00000406651', 'ENSP00000459171', 'ENSP00000460776']"
33,ENSG00000168329,"['ENSP00000351059', 'ENSP00000382166', 'ENSP00000394960', 'ENSP00000408835', 'ENSP00000439140', 'ENSP00000444928']"
34,ENSG00000234602,"['ENSP00000422165', 'ENSP00000426359']"
35,ENSG00000106617,"['ENSP00000287878', 'ENSP00000376549', 'ENSP00000387386', 'ENSP00000417252', 'ENSP00000419493', 'ENSP00000419577', 'ENSP00000420645', 'ENSP00000420783', 'ENSP00000498351', 'ENSP00000498384', 'ENSP00000498428', 'ENSP00000498557', 'ENSP00000498796', 'ENSP00000498886', 'ENSP00000498954', 'ENSP00000499025', 'ENSP00000499103', 'ENSP00000499111', 'ENSP00000499156']"
36,ENSG00000185338,"['ENSP00000329418', 'ENSP00000496577']"
37,ENSG00000078804,"['ENSP00000363942', 'ENSP00000363943', 'ENSP00000395784', 'ENSP00000404410']"
38,ENSG00000147573,"['ENSP00000276573', 'ENSP00000297348', 'ENSP00000323913', 'ENSP00000332302']"
39,ENSG00000096093,"['ENSP00000360107', 'ENSP00000434498', 'ENSP00000444521', 'ENSP00000489623', 'ENSP00000489654', 'ENSP00000489680', 'ENSP00000489700', 'ENSP00000489708', 'ENSP00000489765', 'ENSP00000489852', 'ENSP00000489854', 'ENSP00000489866', 'ENSP00000489921', 'ENSP00000489966', 'ENSP00000489998', 'ENSP00000490074', 'ENSP00000490193', 'ENSP00000490256', 'ENSP00000490348', 'ENSP00000490441', 'ENSP00000490567', 'ENSP00000490602', 'ENSP00000490622', 'ENSP00000490711', 'ENSP00000490859']"
40,ENSG00000241343,"['ENSP00000361940', 'ENSP00000397659', 'ENSP00000404375', 'ENSP00000446503', 'ENSP00000473451', 'ENSP00000483017']"
41,ENSG00000178662,"['ENSP00000318258', 'ENSP00000344042', 'ENSP00000386278', 'ENSP00000387195', 'ENSP00000412081', 'ENSP00000498841']"
42,ENSG00000188820,"['ENSP00000357593', 'ENSP00000357594', 'ENSP00000357595']"
43,ENSG00000140262,"['ENSP00000267811', 'ENSP00000331057', 'ENSP00000342459', 'ENSP00000388940', 'ENSP00000440017', 'ENSP00000444696', 'ENSP00000453264', 'ENSP00000453653', 'ENSP00000453737', 'ENSP00000453876', 'ENSP00000454102', 'ENSP00000454109', 'ENSP00000454823', 'ENSP00000456280']"
44,ENSG00000182154,ENSP00000360498
45,ENSG00000147471,"['ENSP00000333551', 'ENSP00000427778', 'ENSP00000427886', 'ENSP00000428005', 'ENSP00000429425']"
46,ENSG00000003989,"['ENSP00000004531', 'ENSP00000381164', 'ENSP00000419140', 'ENSP00000419873', 'ENSP00000430464', 'ENSP00000492016']"
47,ENSG00000117592,ENSP00000342026
48,ENSG00000123975,ENSP00000364976
49,ENSG00000086717,"['ENSP00000341892', 'ENSP00000354871', 'ENSP00000418623', 'ENSP00000419273', 'ENSP00000419948', 'ENSP00000508462', 'ENSP00000508824', 'ENSP00000509616', 'ENSP00000509623', 'ENSP00000510505']"
50,ENSG00000138439,ENSP00000376071
51,ENSG00000166329,ENSP00000299415
52,ENSG00000225805,ENSP00000485141
53,ENSG00000198018,"['ENSP00000359520', 'ENSP00000474132']"
54,ENSG00000143951,"['ENSP00000272321', 'ENSP00000381552', 'ENSP00000386592', 'ENSP00000386769', 'ENSP00000386795', 'ENSP00000387222', 'ENSP00000396226', 'ENSP00000409982', 'ENSP00000411429', 'ENSP00000430288']"
55,ENSG00000274587,"['ENSP00000477956', 'ENSP00000479532', 'ENSP00000483574', 'ENSP00000483625', 'ENSP00000483760']"
56,ENSG00000143199,"['ENSP00000356822', 'ENSP00000356825', 'ENSP00000441992', 'ENSP00000475192', 'ENSP00000476402']"
57,ENSG00000169618,ENSP00000303775
58,ENSG00000139620,"['ENSP00000415436', 'ENSP00000446493', 'ENSP00000447093', 'ENSP00000447608', 'ENSP00000448129', 'ENSP00000448131', 'ENSP00000448473', 'ENSP00000448833', 'ENSP00000449126', 'ENSP00000449747', 'ENSP00000449891']"
59,ENSG00000204310,"['ENSP00000337463', 'ENSP00000364245', 'ENSP00000364248', 'ENSP00000378874', 'ENSP00000378875', 'ENSP00000378877']"
60,ENSG00000186009,ENSP00000334216
61,ENSG00000115507,"['ENSP00000282549', 'ENSP00000355631', 'ENSP00000385782']"
62,ENSG00000164548,"['ENSP00000297071', 'ENSP00000376290', 'ENSP00000413898', 'ENSP00000441116', 'ENSP00000480822']"
63,ENSG00000087510,"['ENSP00000201031', 'ENSP00000390857']"
64,ENSG00000173678,"['ENSP00000414338', 'ENSP00000424058', 'ENSP00000440393']"
65,ENSG00000166997,"['ENSP00000262932', 'ENSP00000488362', 'ENSP00000488873']"
66,ENSG00000132361,"['ENSP00000388872', 'ENSP00000458986', 'ENSP00000459540', 'ENSP00000460101', 'ENSP00000460173', 'ENSP00000460293', 'ENSP00000461126', 'ENSP00000464732', 'ENSP00000498679']"
67,ENSG00000124260,"['ENSP00000244096', 'ENSP00000359347', 'ENSP00000391977', 'ENSP00000406161', 'ENSP00000462833', 'ENSP00000464160']"
68,ENSG00000148215,ENSP00000362784
69,ENSG00000003393,"['ENSP00000264276', 'ENSP00000386384', 'ENSP00000386948', 'ENSP00000403832', 'ENSP00000429223', 'ENSP00000504981', 'ENSP00000505043', 'ENSP00000505071', 'ENSP00000505078', 'ENSP00000505092', 'ENSP00000505187', 'ENSP00000505218', 'ENSP00000505219', 'ENSP00000505232', 'ENSP00000505249', 'ENSP00000505348', 'ENSP00000505388', 'ENSP00000505446', 'ENSP00000505473', 'ENSP00000505505', 'ENSP00000505522', 'ENSP00000505568', 'ENSP00000505576', 'ENSP00000505665', 'ENSP00000505684', 'ENSP00000505704', 'ENSP00000505710', 'ENSP00000505738', 'ENSP00000505749', 'ENSP00000505848', 'ENSP00000505954', 'ENSP00000505968', 'ENSP00000506085', 'ENSP00000506172', 'ENSP00000506173', 'ENSP00000506193', 'ENSP00000506211', 'ENSP00000506212', 'ENSP00000506274', 'ENSP00000506311', 'ENSP00000506497', 'ENSP00000506531', 'ENSP00000506547', 'ENSP00000506656']"
70,ENSG00000182916,"['ENSP00000329794', 'ENSP00000361751']"
71,ENSG00000173335,ENSP00000366170
72,ENSG00000270231,ENSP00000513610
73,ENSG00000168374,"['ENSP00000306010', 'ENSP00000417501', 'ENSP00000418388', 'ENSP00000420254', 'ENSP00000420655', 'ENSP00000475828']"
74,ENSG00000110955,"['ENSP00000262030', 'ENSP00000446489', 'ENSP00000446677', 'ENSP00000447571', 'ENSP00000448428']"
75,ENSG00000183018,"['ENSP00000333292', 'ENSP00000461410']"
76,ENSG00000240505,"['ENSP00000261652', 'ENSP00000462952', 'ENSP00000463582', 'ENSP00000464069']"
77,ENSG00000111642,"['ENSP00000349508', 'ENSP00000437506', 'ENSP00000440392', 'ENSP00000440542', 'ENSP00000444614', 'ENSP00000493471', 'ENSP00000493619', 'ENSP00000493829', 'ENSP00000494126', 'ENSP00000494247', 'ENSP00000494441', 'ENSP00000494456', 'ENSP00000494498', 'ENSP00000494571', 'ENSP00000494574', 'ENSP00000494981', 'ENSP00000495023', 'ENSP00000495160', 'ENSP00000495233', 'ENSP00000495539', 'ENSP00000495816', 'ENSP00000495834', 'ENSP00000496163', 'ENSP00000496233', 'ENSP00000496291', 'ENSP00000496358', 'ENSP00000496457', 'ENSP00000496543', 'ENSP00000496634', 'ENSP00000496660', 'ENSP00000496707']"
78,ENSG00000170522,"['ENSP00000304736', 'ENSP00000378105', 'ENSP00000424023', 'ENSP00000425488', 'ENSP00000426086']"
79,ENSG00000179241,"['ENSP00000318607', 'ENSP00000433954', 'ENSP00000434313']"
80,ENSG00000142583,"['ENSP00000366631', 'ENSP00000366641', 'ENSP00000464880', 'ENSP00000465285', 'ENSP00000465382', 'ENSP00000465507', 'ENSP00000467039', 'ENSP00000467840', 'ENSP00000468590']"
81,ENSG00000158062,"['ENSP00000324721', 'ENSP00000349601', 'ENSP00000363332', 'ENSP00000363334', 'ENSP00000363338', 'ENSP00000363339', 'ENSP00000363340', 'ENSP00000394036', 'ENSP00000395165', 'ENSP00000404956', 'ENSP00000410357', 'ENSP00000413448']"
82,ENSG00000187045,"['ENSP00000334962', 'ENSP00000371211', 'ENSP00000384964', 'ENSP00000385453', 'ENSP00000392433', 'ENSP00000397691', 'ENSP00000400317', 'ENSP00000501573']"
83,ENSG00000267534,ENSP00000496438
84,ENSG00000073417,"['ENSP00000311453', 'ENSP00000340679', 'ENSP00000378056', 'ENSP00000431976', 'ENSP00000432309', 'ENSP00000452907', 'ENSP00000453808', 'ENSP00000454094']"
85,ENSG00000169193,"['ENSP00000304355', 'ENSP00000386355', 'ENSP00000386675', 'ENSP00000406558']"
86,ENSG00000143320,"['ENSP00000357203', 'ENSP00000357204', 'ENSP00000357205', 'ENSP00000482841']"
87,ENSG00000155729,"['ENSP00000352941', 'ENSP00000386751']"
88,ENSG00000156414,"['ENSP00000387303', 'ENSP00000451637']"
89,ENSG00000124875,"['ENSP00000226317', 'ENSP00000424819']"
90,ENSG00000123407,ENSP00000243103
91,ENSG00000182901,"['ENSP00000341242', 'ENSP00000355521', 'ENSP00000355522', 'ENSP00000355523', 'ENSP00000404399', 'ENSP00000508520', 'ENSP00000508545', 'ENSP00000508697', 'ENSP00000508919', 'ENSP00000509046', 'ENSP00000509260', 'ENSP00000509302', 'ENSP00000509318', 'ENSP00000509381', 'ENSP00000509411', 'ENSP00000509822', 'ENSP00000509835', 'ENSP00000509943', 'ENSP00000510103', 'ENSP00000510116', 'ENSP00000510154', 'ENSP00000510187', 'ENSP00000510322', 'ENSP00000510326', 'ENSP00000510372', 'ENSP00000510420', 'ENSP00000510458', 'ENSP00000510676', 'ENSP00000510735']"
92,ENSG00000124120,"['ENSP00000262605', 'ENSP00000361995', 'ENSP00000361997', 'ENSP00000412720']"
93,ENSG00000139428,"['ENSP00000416136', 'ENSP00000438079', 'ENSP00000444793', 'ENSP00000445920', 'ENSP00000474582', 'ENSP00000474881', 'ENSP00000474981', 'ENSP00000483818']"
94,ENSG00000141582,"['ENSP00000269397', 'ENSP00000415348', 'ENSP00000461198']"
95,ENSG00000176619,ENSP00000327054
96,ENSG00000138246,"['ENSP00000260818', 'ENSP00000421735', 'ENSP00000426240', 'ENSP00000496825']"
