,genes,proteins
0,ENSMUSG00000086784,ENSMUSP00000131514
1,ENSMUSG00000007122,"['ENSMUSP00000003554', 'ENSMUSP00000129647']"
2,ENSMUSG00000027763,"['ENSMUSP00000096686', 'ENSMUSP00000141287', 'ENSMUSP00000141474', 'ENSMUSP00000141536', 'ENSMUSP00000141576', 'ENSMUSP00000141848', 'ENSMUSP00000141915', 'ENSMUSP00000141954', 'ENSMUSP00000141984', 'ENSMUSP00000142045', 'ENSMUSP00000142057', 'ENSMUSP00000142074', 'ENSMUSP00000142088', 'ENSMUSP00000142095']"
3,ENSMUSG00000026322,"['ENSMUSP00000027560', 'ENSMUSP00000157470', 'ENSMUSP00000157967', 'ENSMUSP00000157982']"
4,ENSMUSG00000026163,"['ENSMUSP00000124384', 'ENSMUSP00000124872']"
5,ENSMUSG00000007891,"['ENSMUSP00000063904', 'ENSMUSP00000121203']"
6,ENSMUSG00000078202,ENSMUSP00000100615
7,ENSMUSG00000041189,ENSMUSP00000047270
8,ENSMUSG00000022414,"['ENSMUSP00000023050', 'ENSMUSP00000155204']"
9,ENSMUSG00000093894,ENSMUSP00000100304
10,ENSMUSG00000071275,ENSMUSP00000093296
11,ENSMUSG00000040565,ENSMUSP00000097093
12,ENSMUSG00000027070,"['ENSMUSP00000079752', 'ENSMUSP00000090212', 'ENSMUSP00000097628']"
13,ENSMUSG00000034109,"['ENSMUSP00000048997', 'ENSMUSP00000114006', 'ENSMUSP00000119501', 'ENSMUSP00000132910']"
14,ENSMUSG00000019470,"['ENSMUSP00000019614', 'ENSMUSP00000124202', 'ENSMUSP00000124237']"
15,ENSMUSG00000001670,"['ENSMUSP00000001720', 'ENSMUSP00000119061']"
16,ENSMUSG00000027882,"['ENSMUSP00000099681', 'ENSMUSP00000102206', 'ENSMUSP00000142785', 'ENSMUSP00000142860']"
17,ENSMUSG00000086147,ENSMUSP00000135720
18,ENSMUSG00000008999,ENSMUSP00000009143
19,ENSMUSG00000090946,ENSMUSP00000129581
20,ENSMUSG00000040154,"['ENSMUSP00000035824', 'ENSMUSP00000115448']"
21,ENSMUSG00000021457,"['ENSMUSP00000060828', 'ENSMUSP00000112914', 'ENSMUSP00000113852']"
22,ENSMUSG00000028180,"['ENSMUSP00000029831', 'ENSMUSP00000101672', 'ENSMUSP00000101673', 'ENSMUSP00000101678', 'ENSMUSP00000138986', 'ENSMUSP00000143533']"
23,ENSMUSG00000039977,"['ENSMUSP00000039912', 'ENSMUSP00000111255', 'ENSMUSP00000111256', 'ENSMUSP00000121526']"
24,ENSMUSG00000076564,ENSMUSP00000100166
25,ENSMUSG00000061778,"['ENSMUSP00000004715', 'ENSMUSP00000107866', 'ENSMUSP00000107867']"
26,ENSMUSG00000069299,"['ENSMUSP00000089333', 'ENSMUSP00000153995', 'ENSMUSP00000154654']"
27,ENSMUSG00000098207,ENSMUSP00000138370
28,ENSMUSG00000073922,"['ENSMUSP00000095772', 'ENSMUSP00000149939']"
29,ENSMUSG00000027071,"['ENSMUSP00000028465', 'ENSMUSP00000107240', 'ENSMUSP00000107243']"
30,ENSMUSG00000031727,ENSMUSP00000034162
31,ENSMUSG00000078429,"['ENSMUSP00000100890', 'ENSMUSP00000100891']"
32,ENSMUSG00000028426,ENSMUSP00000030134
33,ENSMUSG00000028514,"['ENSMUSP00000092538', 'ENSMUSP00000133095']"
34,ENSMUSG00000090141,ENSMUSP00000098910
35,ENSMUSG00000031955,"['ENSMUSP00000129584', 'ENSMUSP00000148364']"
36,ENSMUSG00000017688,"['ENSMUSP00000104030', 'ENSMUSP00000104031']"
37,ENSMUSG00000024427,ENSMUSP00000025295
38,ENSMUSG00000043505,ENSMUSP00000056820
39,ENSMUSG00000036733,"['ENSMUSP00000040005', 'ENSMUSP00000103776']"
40,ENSMUSG00000030393,ENSMUSP00000032551
41,ENSMUSG00000095430,"['ENSMUSP00000052997', 'ENSMUSP00000148081', 'ENSMUSP00000154511']"
42,ENSMUSG00000022109,ENSMUSP00000022705
43,ENSMUSG00000054477,"['ENSMUSP00000067884', 'ENSMUSP00000129659', 'ENSMUSP00000139350', 'ENSMUSP00000148153', 'ENSMUSP00000158371']"
44,ENSMUSG00000027761,ENSMUSP00000029325
45,ENSMUSG00000001995,"['ENSMUSP00000104405', 'ENSMUSP00000148536', 'ENSMUSP00000148557']"
46,ENSMUSG00000027525,"['ENSMUSP00000099354', 'ENSMUSP00000099355', 'ENSMUSP00000104543', 'ENSMUSP00000104544', 'ENSMUSP00000104545', 'ENSMUSP00000158899']"
47,ENSMUSG00000035517,"['ENSMUSP00000099993', 'ENSMUSP00000103406']"
48,ENSMUSG00000047731,"['ENSMUSP00000096975', 'ENSMUSP00000107486', 'ENSMUSP00000117929', 'ENSMUSP00000121821']"
49,ENSMUSG00000030049,ENSMUSP00000032128
50,ENSMUSG00000073962,"['ENSMUSP00000142459', 'ENSMUSP00000143172']"
51,ENSMUSG00000032313,"['ENSMUSP00000034862', 'ENSMUSP00000082906']"
52,ENSMUSG00000061410,"['ENSMUSP00000040360', 'ENSMUSP00000120570']"
53,ENSMUSG00000024197,"['ENSMUSP00000019726', 'ENSMUSP00000156720']"
54,ENSMUSG00000038037,"['ENSMUSP00000038121', 'ENSMUSP00000155530']"
55,ENSMUSG00000048978,"['ENSMUSP00000055048', 'ENSMUSP00000128979']"
56,ENSMUSG00000029535,ENSMUSP00000031508
57,ENSMUSG00000090077,"['ENSMUSP00000045010', 'ENSMUSP00000104432', 'ENSMUSP00000117558', 'ENSMUSP00000119181']"
58,ENSMUSG00000022964,"['ENSMUSP00000023686', 'ENSMUSP00000116602', 'ENSMUSP00000120087']"
59,ENSMUSG00000042793,"['ENSMUSP00000035444', 'ENSMUSP00000122334']"
60,ENSMUSG00000096688,ENSMUSP00000103108
61,ENSMUSG00000004642,"['ENSMUSP00000062930', 'ENSMUSP00000075093', 'ENSMUSP00000098906', 'ENSMUSP00000121978', 'ENSMUSP00000144475']"
62,ENSMUSG00000096606,ENSMUSP00000137154
63,ENSMUSG00000079435,"['ENSMUSP00000108837', 'ENSMUSP00000126110']"
64,ENSMUSG00000021997,ENSMUSP00000022574
65,ENSMUSG00000058351,"['ENSMUSP00000050634', 'ENSMUSP00000067418', 'ENSMUSP00000087673', 'ENSMUSP00000145018']"
66,ENSMUSG00000035673,"['ENSMUSP00000041635', 'ENSMUSP00000151449', 'ENSMUSP00000151590', 'ENSMUSP00000151835', 'ENSMUSP00000151854']"
67,ENSMUSG00000022034,"['ENSMUSP00000022613', 'ENSMUSP00000153210']"
68,ENSMUSG00000072923,ENSMUSP00000098741
69,ENSMUSG00000025955,"['ENSMUSP00000063309', 'ENSMUSP00000123943', 'ENSMUSP00000124333']"
70,ENSMUSG00000046031,ENSMUSP00000051575
71,ENSMUSG00000058729,"['ENSMUSP00000141331', 'ENSMUSP00000141503', 'ENSMUSP00000141530', 'ENSMUSP00000142096']"
72,ENSMUSG00000069049,ENSMUSP00000088736
73,ENSMUSG00000074449,ENSMUSP00000081059
74,ENSMUSG00000050359,ENSMUSP00000053751
75,ENSMUSG00000064284,"['ENSMUSP00000071772', 'ENSMUSP00000114528', 'ENSMUSP00000116823', 'ENSMUSP00000119728', 'ENSMUSP00000121889', 'ENSMUSP00000123174']"
76,ENSMUSG00000104043,ENSMUSP00000141377
77,ENSMUSG00000025140,"['ENSMUSP00000026133', 'ENSMUSP00000114863', 'ENSMUSP00000117737', 'ENSMUSP00000120558', 'ENSMUSP00000131199']"
78,ENSMUSG00000061451,"['ENSMUSP00000076321', 'ENSMUSP00000117156', 'ENSMUSP00000121084']"
79,ENSMUSG00000076752,ENSMUSP00000100340
80,ENSMUSG00000090688,ENSMUSP00000093612
81,ENSMUSG00000045482,"['ENSMUSP00000042544', 'ENSMUSP00000091668', 'ENSMUSP00000098035', 'ENSMUSP00000115917', 'ENSMUSP00000122021', 'ENSMUSP00000148419']"
82,ENSMUSG00000000385,"['ENSMUSP00000000395', 'ENSMUSP00000156007', 'ENSMUSP00000156304']"
83,ENSMUSG00000022946,"['ENSMUSP00000044437', 'ENSMUSP00000154229', 'ENSMUSP00000154446', 'ENSMUSP00000154636', 'ENSMUSP00000154771', 'ENSMUSP00000156073']"
84,ENSMUSG00000062252,"['ENSMUSP00000079598', 'ENSMUSP00000156557', 'ENSMUSP00000156959']"
85,ENSMUSG00000046607,ENSMUSP00000057532
86,ENSMUSG00000028007,"['ENSMUSP00000029639', 'ENSMUSP00000125804', 'ENSMUSP00000128007', 'ENSMUSP00000143230']"
87,ENSMUSG00000037905,"['ENSMUSP00000037609', 'ENSMUSP00000143530']"
88,ENSMUSG00000022021,"['ENSMUSP00000022599', 'ENSMUSP00000129420', 'ENSMUSP00000153711', 'ENSMUSP00000154037', 'ENSMUSP00000154692']"
89,ENSMUSG00000014778,ENSMUSP00000014922
90,ENSMUSG00000026928,"['ENSMUSP00000028294', 'ENSMUSP00000097876']"
91,ENSMUSG00000096141,ENSMUSP00000092571
92,ENSMUSG00000037990,"['ENSMUSP00000114368', 'ENSMUSP00000120938']"
93,ENSMUSG00000049439,"['ENSMUSP00000050823', 'ENSMUSP00000137471']"
94,ENSMUSG00000023572,"['ENSMUSP00000062496', 'ENSMUSP00000097087', 'ENSMUSP00000097088', 'ENSMUSP00000125961']"
95,ENSMUSG00000029502,"['ENSMUSP00000031477', 'ENSMUSP00000108131', 'ENSMUSP00000115367']"
96,ENSMUSG00000051989,"['ENSMUSP00000070724', 'ENSMUSP00000113086']"
97,ENSMUSG00000027243,"['ENSMUSP00000088098', 'ENSMUSP00000106954', 'ENSMUSP00000116256', 'ENSMUSP00000117640', 'ENSMUSP00000121420']"
98,ENSMUSG00000024835,"['ENSMUSP00000008893', 'ENSMUSP00000118450', 'ENSMUSP00000157859', 'ENSMUSP00000158099']"
99,ENSMUSG00000035930,"['ENSMUSP00000104845', 'ENSMUSP00000148741', 'ENSMUSP00000148756']"
100,ENSMUSG00000068856,ENSMUSP00000075709
101,ENSMUSG00000030835,ENSMUSP00000033121
102,ENSMUSG00000002524,"['ENSMUSP00000002599', 'ENSMUSP00000098096', 'ENSMUSP00000154177', 'ENSMUSP00000155707']"
103,ENSMUSG00000026774,"['ENSMUSP00000028113', 'ENSMUSP00000110150']"
104,ENSMUSG00000076469,ENSMUSP00000100086
105,ENSMUSG00000035131,"['ENSMUSP00000074201', 'ENSMUSP00000116763', 'ENSMUSP00000118552', 'ENSMUSP00000126074']"
106,ENSMUSG00000025086,"['ENSMUSP00000026072', 'ENSMUSP00000026073', 'ENSMUSP00000157924']"
107,ENSMUSG00000021520,ENSMUSP00000021993
108,ENSMUSG00000096806,"['ENSMUSP00000077344', 'ENSMUSP00000149697']"
109,ENSMUSG00000032394,"['ENSMUSP00000034961', 'ENSMUSP00000149084']"
110,ENSMUSG00000062181,"['ENSMUSP00000074004', 'ENSMUSP00000090909', 'ENSMUSP00000134204']"
111,ENSMUSG00000021135,"['ENSMUSP00000093229', 'ENSMUSP00000151215', 'ENSMUSP00000151510', 'ENSMUSP00000151555']"
112,ENSMUSG00000051344,"['ENSMUSP00000095320', 'ENSMUSP00000120872', 'ENSMUSP00000138002']"
113,ENSMUSG00000031428,"['ENSMUSP00000033804', 'ENSMUSP00000098788', 'ENSMUSP00000108690']"
114,ENSMUSG00000047443,"['ENSMUSP00000084073', 'ENSMUSP00000140509']"
115,ENSMUSG00000033768,"['ENSMUSP00000076424', 'ENSMUSP00000109085', 'ENSMUSP00000109086', 'ENSMUSP00000109088', 'ENSMUSP00000109089', 'ENSMUSP00000119762', 'ENSMUSP00000122920', 'ENSMUSP00000157405', 'ENSMUSP00000158360']"
116,ENSMUSG00000079007,"['ENSMUSP00000000718', 'ENSMUSP00000152596']"
117,ENSMUSG00000035478,"['ENSMUSP00000089948', 'ENSMUSP00000100984', 'ENSMUSP00000100985', 'ENSMUSP00000100986', 'ENSMUSP00000120675']"
118,ENSMUSG00000028698,"['ENSMUSP00000030464', 'ENSMUSP00000102099', 'ENSMUSP00000118568']"
119,ENSMUSG00000000078,"['ENSMUSP00000000080', 'ENSMUSP00000152088']"
120,ENSMUSG00000031385,ENSMUSP00000002079
121,ENSMUSG00000053286,"['ENSMUSP00000068309', 'ENSMUSP00000140009']"
122,ENSMUSG00000018189,"['ENSMUSP00000018333', 'ENSMUSP00000139668', 'ENSMUSP00000140106', 'ENSMUSP00000140681']"
123,ENSMUSG00000039693,"['ENSMUSP00000056551', 'ENSMUSP00000065785', 'ENSMUSP00000103332']"
124,ENSMUSG00000035297,"['ENSMUSP00000048416', 'ENSMUSP00000114585', 'ENSMUSP00000115767', 'ENSMUSP00000119737', 'ENSMUSP00000121979']"
125,ENSMUSG00000032503,"['ENSMUSP00000035085', 'ENSMUSP00000069264', 'ENSMUSP00000107503', 'ENSMUSP00000123715', 'ENSMUSP00000123883', 'ENSMUSP00000123937', 'ENSMUSP00000124502', 'ENSMUSP00000124550', 'ENSMUSP00000124670', 'ENSMUSP00000125095', 'ENSMUSP00000125282', 'ENSMUSP00000125684', 'ENSMUSP00000125862', 'ENSMUSP00000130558', 'ENSMUSP00000136769']"
126,ENSMUSG00000058354,ENSMUSP00000023788
