ENSEMBL,Si_Nippo_vs_Naive,Col_DSS_vs_Naive,Col_Th17_vs_Naive,DRG_Nippo_vs_Naive,DRG_DSS_vs_Naive,DRG_Th17_vs_Naive,SMG_Nippo_vs_Naive,SMG_DSS_vs_Naive,SMG_Th17_vs_Naive,VG_Nippo_vs_Naive,VG_DSS_vs_Naive,VG_Th17_vs_Naive,Si_Nippo_vs_Naive_padj,Col_DSS_vs_Naive_padj,Col_Th17_vs_Naive_padj,DRG_Nippo_vs_Naive_padj,DRG_DSS_vs_Naive_padj,DRG_Th17_vs_Naive_padj,SMG_Nippo_vs_Naive_padj,SMG_DSS_vs_Naive_padj,SMG_Th17_vs_Naive_padj,VG_Nippo_vs_Naive_padj,VG_DSS_vs_Naive_padj,VG_Th17_vs_Naive_padj,mean_count_Si,mean_count_Col,mean_count_DRG,mean_count_SMG,mean_count_VG,SYMBOL,annot,,,
ENSMUSG00000000003,1.53287500503085,1.64715947606133,2.50691649856592,2.04896378641885,0.0774697251539331,2.32895950511185,0.725911875402909,1.02183130286229,1.60425171289397,0.0674761407588804,0.219447242978534,-0.0560615486549026,0.000974074625089888,0.000193844184301914,1.07297322304422E-07,0.00376427044269889,1,0.00363638929927154,0.17566992932918,0.0745101414787848,0.00254460361027302,0.732173717774843,0.48593639079948,0.682868854265142,28.4701394344453,69.673503824471,26.4002831777285,88.0978503259974,23.6765830556798,Pbsn,Probasin,,,
ENSMUSG00000000037,0.766884228089396,0.629313265078609,1.45133286910352,0.625150997779617,-0.00296875839061021,1.04072939998731,0.171513254325693,0.161319158956392,0.995486981228779,0.0679254452096415,0.162271792639829,0.0160240394845274,0.0107263925637092,0.0330785846949324,3.89551970965677E-06,0.223808772564214,0.991764596931487,0.0351859206785019,0.624149471321487,0.660045210331246,0.00217716100898481,0.652748224824718,0.374553146402244,0.922871456147591,297.271080542081,540.283146733334,187.8510426698,683.785829988339,485.038154710032,Scml2,Scm polycomb group protein-like 2, Sex comb on midleg-like 2 (Drosophila),,
ENSMUSG00000000049,1.04483924115037,1.30615398293287,1.40075125865514,1.65054326794909,0.23935974253345,1.17388136538668,0.843382338936608,0.833742221967245,0.603264203625508,0.301194256555057,0.796370064899232,-0.0258208090790833,0.000297877752097907,0.000551653984671621,0.000755338626366228,6.09319898975293E-05,0.378286998433212,0.0105843402705354,0.0175709270848267,0.0142697432595345,0.0833994552356046,0.16423506573918,0.0233834936333665,0.864932383612139,335.679642629711,621.537488080721,203.252208807304,693.050149323804,426.743411605308,Apoh,"Beta-2-glycoprotein 1; Binds to various kinds of negatively charged substances such as heparin, phospholipids, and dextran sulfate. May prevent activation of the intrinsic blood coagulation cascade by binding to phospholipids on the surface of damaged cells",,,
ENSMUSG00000000103,1.16002775594617,1.04788433590229,-2.99649723928113,2.12748517995602,0.0368907318626763,-2.03604438277809,1.32970865894676,2.13702660757085,-1.50968924816429,0.608544133943168,1.23348230665319,-0.0367707521071456,0.00304795276986336,0.0171427568367353,3.58127746217263E-09,5.60287680769409E-05,1,0.00252039878017331,0.0209922575252434,0.000398145753509068,0.00978870120026966,0.152519829108279,0.0458474317563607,0.787128370459429,112.975847188451,120.558064982748,43.6242922106639,128.162344734824,47.1083784451056,Zfy2,Zinc finger Y-chromosomal protein 2, Probable transcriptional activator. Binds to the consensus sequence 5'-AGGCCY-3' (By similarity),,
ENSMUSG00000000125,0.644071813430939,1.41512247724989,1.71438617815981,1.45180551717699,0.10479165854696,0.709036618544579,1.70994859731834,1.57302528851621,1.3503463581905,1.44652376005874,2.02140442989143,0.879471545852637,0.0533422976451477,0.000181761189634591,3.12739396235648E-05,0.00279434354882422,0.717394229753542,0.0778524211658513,0.000121495468851047,5.57111026397237E-05,0.000693000754548641,0.0269468936805747,0.00315890919938725,0.0676607289681891,319.410943751077,532.79366270502,127.560972231148,528.565604807959,314.416201295442,Wnt3,"Wingless-type mmtv integration site family, member 3; Proto-oncogene Wnt-3; Ligand for members of the frizzled family of seven transmembrane receptors. Wnt-3 and Wnt-3a play distinct roles in cell-cell signaling during morphogenesis of the developing neural tube",,,
ENSMUSG00000000159,1.09026728957173,0.681902706765388,0.789709115768592,1.64480252819982,0.0953093520476042,0.854202400694415,1.29765153330088,1.75210482787805,1.28564289756825,0.382735985610826,2.09605596763236,-0.0128679564986573,0.000148331268840189,0.0757035868482692,0.0629064858897792,0.00134405776464757,0.73561547368864,0.0582006756398631,0.00393562015841378,3.17341370534866E-05,0.00220125247948894,0.219867365678685,0.0014885818920256,0.932535101625221,527.961191123559,1092.60976131957,229.089778096223,1134.65702821087,528.765287696571,Igsf5,"Immunoglobulin superfamily member 5; Provides, together with MAGI1, an adhesion machinery at tight junctions, which may regulate the permeability of kidney glomerulus and small intestinal epithelial cells. Mediates calcium-independent homophilic cell adhesion. In testis, it may function as a cell adhesion molecule rather than a tight-junction protein. It may participate in the adhesion between spermatogonia- spermatogonia, spermatogonia-Sertoli cells, and Sertoli cells- Sertoli cells; Belongs to the immunoglobulin superfamily",,,
ENSMUSG00000000215,1.01882042045272,1.46173268063424,1.6697912126715,2.0209407483557,0.118033442123828,1.32665588761462,1.2455954463559,3.66902953563451,1.43587125663737,0.719740534119105,2.01587021181002,-0.0214037734879741,0.00329746084706674,0.0014837009091202,0.00125889447887667,0.00103426367731607,0.610859948566772,0.0308962947700452,0.0167362509776423,7.3937557290685E-12,0.00438586089449249,0.142084371499306,0.0101271423458744,0.877496470129679,330.664052972137,600.282265024121,134.932271520796,1263.55567042255,192.394807403142,Ins2,"Insulin ii; Insulin-2; Insulin decreases blood glucose concentration. It increases cell permeability to monosaccharides, amino acids and fatty acids. It accelerates glycolysis, the pentose phosphate cycle, and glycogen synthesis in liver",,,
ENSMUSG00000000216,1.47886556737284,1.22036353636854,1.4090023895069,1.93656988322164,0.192358795868577,1.4722295978078,1.29640726748608,1.56804555622465,1.36409508630688,0.77484069480361,1.64269420415705,0.117720052478968,2.25791039884066E-05,0.00762120607918098,0.00649645737902109,0.000583935022867913,0.411742805726937,0.0174138923792576,0.0033653955986658,0.000128139470409948,0.00100287311980197,0.100412813117467,0.0111726355563742,0.445941933694718,210.229551673851,411.782916631658,105.561061721298,450.117766888628,169.276828199304,Scnn1g,"Amiloride-sensitive sodium channel subunit gamma; Sodium permeable non-voltage-sensitive ion channel inhibited by the diuretic amiloride. Mediates the electrodiffusion of the luminal sodium (and water, which follows osmotically) through the apical membrane of epithelial cells. Plays an essential role in electrolyte and blood pressure homeostasis, but also in airway surface liquid homeostasis, which is important for proper clearance of mucus. Controls the reabsorption of sodium in kidney, colon, lung and sweat glands. Also plays a role in taste perception; Belongs to the amiloride-sensi [...]",,,
ENSMUSG00000000247,1.03335637843832,1.45067751441237,1.76691545986054,2.06805053697331,0.161833523350223,1.57402306327548,1.74611654993671,1.94036994831639,1.47842380940803,2.0249985737745,1.85492737112662,-0.000732226905128282,0.00823786943055436,0.00242699125586189,0.00111869975092564,0.00168276477953739,1,0.0224026373838126,0.000182605769066915,2.48026722282893E-06,0.000421226498929392,0.0106382886029493,0.0129625313186016,0.997421822674083,150.079597909295,263.864522510722,60.6026528766302,309.159205796907,158.354958598002,Lhx2,LIM/homeobox protein Lhx2, Acts as a transcriptional activator. Stimulates the promoter of the alpha-glycoprotein gene. Transcriptional regulatory protein involved in the control of cell differentiation in developing lymphoid and neural cell types,,
ENSMUSG00000000248,1.58537235726402,1.01349007775698,1.21308463373661,1.97181228343788,0.0938699914186115,1.12586892337396,1.02566831043524,0.996179765860684,0.60714656701619,0.631730746360515,1.57039035633597,0.0200222027760201,1.18028988087972E-06,0.0253594801338313,0.0172683629038074,0.0014989644542402,1,0.0468835939281166,0.0205660228311645,0.0230617134664727,0.172332494772402,0.152853624525008,0.0231287035070628,0.887125275206714,116.934001495349,203.48626407458,57.705413145012,277.510170086464,78.7042134371474,Clec2g,C-type lectin domain family 2 member G, Inhibits osteoclast formation,,
