id,name,category,proteins,p_value,fdr_rate
GO:0043281,Regulation of cysteine-type endopeptidase activity involved in apoptotic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000093077', '10090.ENSMUSP00000020171', '10090.ENSMUSP00000110746', '10090.ENSMUSP00000010044', '10090.ENSMUSP00000029175', '10090.ENSMUSP00000104158', '10090.ENSMUSP00000095866', '10090.ENSMUSP00000000122', '10090.ENSMUSP00000000804', '10090.ENSMUSP00000030164', '10090.ENSMUSP00000049355', '10090.ENSMUSP00000124201', '10090.ENSMUSP00000115883', '10090.ENSMUSP00000024866', '10090.ENSMUSP00000103981', '10090.ENSMUSP00000113890', '10090.ENSMUSP00000022142', '10090.ENSMUSP00000028239', '10090.ENSMUSP00000033828', '10090.ENSMUSP00000005651']",0.005360307401570804,0.04979194077477569
GO:0140375,Immune receptor activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000039041', '10090.ENSMUSP00000024044', '10090.ENSMUSP00000027237', '10090.ENSMUSP00000023689', '10090.ENSMUSP00000103679', '10090.ENSMUSP00000049852', '10090.ENSMUSP00000101768', '10090.ENSMUSP00000036316', '10090.ENSMUSP00000069457', '10090.ENSMUSP00000127024', '10090.ENSMUSP00000077873', '10090.ENSMUSP00000025224', '10090.ENSMUSP00000077878']",0.005320415400266777,0.049440384553805464
GO:0099056,Integral component of presynaptic membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000036203', '10090.ENSMUSP00000047774', '10090.ENSMUSP00000054233', '10090.ENSMUSP00000119242', '10090.ENSMUSP00000029331', '10090.ENSMUSP00000108413', '10090.ENSMUSP00000064048', '10090.ENSMUSP00000055797', '10090.ENSMUSP00000118452', '10090.ENSMUSP00000127973', '10090.ENSMUSP00000114123', '10090.ENSMUSP00000023007', '10090.ENSMUSP00000111501']",0.005320415400266777,0.049440384553805464
GO:0045786,Negative regulation of cell cycle,Biological Process (Gene Ontology),"['10090.ENSMUSP00000104548', '10090.ENSMUSP00000099744', '10090.ENSMUSP00000027367', '10090.ENSMUSP00000007130', '10090.ENSMUSP00000072852', '10090.ENSMUSP00000067013', '10090.ENSMUSP00000025755', '10090.ENSMUSP00000013807', '10090.ENSMUSP00000092569', '10090.ENSMUSP00000030191', '10090.ENSMUSP00000021262', '10090.ENSMUSP00000049296', '10090.ENSMUSP00000017610', '10090.ENSMUSP00000005507', '10090.ENSMUSP00000057339', '10090.ENSMUSP00000054168', '10090.ENSMUSP00000096129', '10090.ENSMUSP00000128881', '10090.ENSMUSP00000107641', '10090.ENSMUSP00000070339', '10090.ENSMUSP00000098035', '10090.ENSMUSP00000056500', '10090.ENSMUSP00000064555', '10090.ENSMUSP00000102167', '10090.ENSMUSP00000003912', '10090.ENSMUSP00000030814', '10090.ENSMUSP00000106934', '10090.ENSMUSP00000110417', '10090.ENSMUSP00000004990', '10090.ENSMUSP00000040232', '10090.ENSMUSP00000068661', '10090.ENSMUSP00000027933']",0.0053024661215782904,0.04931150679436217
path:mmu05211,Renal cell carcinoma,KEGG,"['10090.ENSMUSP00000099758', '10090.ENSMUSP00000115883', '10090.ENSMUSP00000056774', '10090.ENSMUSP00000001155', '10090.ENSMUSP00000051619', '10090.ENSMUSP00000102711', '10090.ENSMUSP00000017920', '10090.ENSMUSP00000099810', '10090.ENSMUSP00000103981']",0.005276941081271365,0.0490930199901189
GO:0050433,Regulation of catecholamine secretion,Biological Process (Gene Ontology),"['10090.ENSMUSP00000023390', '10090.ENSMUSP00000029331', '10090.ENSMUSP00000047774', '10090.ENSMUSP00000099984', '10090.ENSMUSP00000030536', '10090.ENSMUSP00000059977', '10090.ENSMUSP00000105719', '10090.ENSMUSP00000055797', '10090.ENSMUSP00000127973']",0.005276941081271365,0.0490930199901189
GO:0043550,Regulation of lipid kinase activity,Biological Process (Gene Ontology),"['10090.ENSMUSP00000029175', '10090.ENSMUSP00000106934', '10090.ENSMUSP00000043768', '10090.ENSMUSP00000056774', '10090.ENSMUSP00000070726', '10090.ENSMUSP00000114123', '10090.ENSMUSP00000036270', '10090.ENSMUSP00000029164', '10090.ENSMUSP00000063795']",0.005276941081271365,0.0490930199901189
GO:2000756,Regulation of peptidyl-lysine acetylation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000047398', '10090.ENSMUSP00000110337', '10090.ENSMUSP00000099758', '10090.ENSMUSP00000072615', '10090.ENSMUSP00000095866', '10090.ENSMUSP00000046298', '10090.ENSMUSP00000025393', '10090.ENSMUSP00000051619', '10090.ENSMUSP00000074204']",0.005276941081271365,0.0490930199901189
GO:0000209,Protein polyubiquitination,Biological Process (Gene Ontology),"['10090.ENSMUSP00000034740', '10090.ENSMUSP00000007130', '10090.ENSMUSP00000053384', '10090.ENSMUSP00000136449', '10090.ENSMUSP00000105473', '10090.ENSMUSP00000027421', '10090.ENSMUSP00000026292', '10090.ENSMUSP00000097721', '10090.ENSMUSP00000025729', '10090.ENSMUSP00000014499', '10090.ENSMUSP00000114843', '10090.ENSMUSP00000107447', '10090.ENSMUSP00000083393', '10090.ENSMUSP00000122420', '10090.ENSMUSP00000103286', '10090.ENSMUSP00000091703', '10090.ENSMUSP00000023455', '10090.ENSMUSP00000047950', '10090.ENSMUSP00000027933']",0.005276882194209504,0.0490930199901189
path:mmu05160,Hepatitis C,KEGG,"['10090.ENSMUSP00000007130', '10090.ENSMUSP00000043768', '10090.ENSMUSP00000051223', '10090.ENSMUSP00000023689', '10090.ENSMUSP00000022894', '10090.ENSMUSP00000056774', '10090.ENSMUSP00000034560', '10090.ENSMUSP00000001155', '10090.ENSMUSP00000062045', '10090.ENSMUSP00000042181', '10090.ENSMUSP00000070993', '10090.ENSMUSP00000018470', '10090.ENSMUSP00000083385', '10090.ENSMUSP00000051619', '10090.ENSMUSP00000103981', '10090.ENSMUSP00000026217']",0.005264734930544311,0.04907390793338064
WP493,Mapk signaling pathway,WikiPathways,"['10090.ENSMUSP00000033699', '10090.ENSMUSP00000099984', '10090.ENSMUSP00000004990', '10090.ENSMUSP00000106025', '10090.ENSMUSP00000092901', '10090.ENSMUSP00000105179', '10090.ENSMUSP00000095866', '10090.ENSMUSP00000107641', '10090.ENSMUSP00000051619', '10090.ENSMUSP00000056752', '10090.ENSMUSP00000104890', '10090.ENSMUSP00000102711', '10090.ENSMUSP00000017920', '10090.ENSMUSP00000009550', '10090.ENSMUSP00000103981', '10090.ENSMUSP00000015800']",0.005264734930544311,0.04907390793338064
GO:0001764,Neuron migration,Biological Process (Gene Ontology),"['10090.ENSMUSP00000017920', '10090.ENSMUSP00000124052', '10090.ENSMUSP00000112410', '10090.ENSMUSP00000021091', '10090.ENSMUSP00000007130', '10090.ENSMUSP00000109794', '10090.ENSMUSP00000086716', '10090.ENSMUSP00000115883', '10090.ENSMUSP00000131684', '10090.ENSMUSP00000030814', '10090.ENSMUSP00000070993', '10090.ENSMUSP00000025224', '10090.ENSMUSP00000033828', '10090.ENSMUSP00000021116', '10090.ENSMUSP00000039709']",0.005249129093017097,0.04896621002633085
GO:0071229,Cellular response to acid chemical,Biological Process (Gene Ontology),"['10090.ENSMUSP00000083620', '10090.ENSMUSP00000132735', '10090.ENSMUSP00000115883', '10090.ENSMUSP00000054852', '10090.ENSMUSP00000025081', '10090.ENSMUSP00000108961', '10090.ENSMUSP00000015484', '10090.ENSMUSP00000085192', '10090.ENSMUSP00000111501', '10090.ENSMUSP00000020991']",0.005205760313483308,0.04858039643895427
MMU-6806834,Signaling by MET,Reactome Pathways,"['10090.ENSMUSP00000029175', '10090.ENSMUSP00000083620', '10090.ENSMUSP00000054499', '10090.ENSMUSP00000069087', '10090.ENSMUSP00000056774', '10090.ENSMUSP00000087457', '10090.ENSMUSP00000015791', '10090.ENSMUSP00000085192', '10090.ENSMUSP00000017920', '10090.ENSMUSP00000019992']",0.005205760313483308,0.04858039643895427
