,id,name,category,proteins,p_value,fdr_rate
0,GO:0007586,Digestion,Biological Process (Gene Ontology),"['10090.ENSMUSP00000035246', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000041204']",0.000667340883890318,0.04947739007248155
1,GO:0009987,Cellular process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000024733', '10090.ENSMUSP00000047927', '10090.ENSMUSP00000112908', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000110172', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000078336', '10090.ENSMUSP00000007251', '10090.ENSMUSP00000031445', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000103012', '10090.ENSMUSP00000041243', '10090.ENSMUSP00000040465', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000045134', '10090.ENSMUSP00000078593', '10090.ENSMUSP00000037348', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000129169', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000043424', '10090.ENSMUSP00000031354', '10090.ENSMUSP00000080256', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000097860', '10090.ENSMUSP00000011492', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000075011', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000063548', '10090.ENSMUSP00000058754', '10090.ENSMUSP00000018841', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000036881', '10090.ENSMUSP00000092702', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000031524', '10090.ENSMUSP00000020948', '10090.ENSMUSP00000035458', '10090.ENSMUSP00000034441', '10090.ENSMUSP00000113792', '10090.ENSMUSP00000053558', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000021666', '10090.ENSMUSP00000110729', '10090.ENSMUSP00000027396', '10090.ENSMUSP00000007005', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000112538', '10090.ENSMUSP00000031707', '10090.ENSMUSP00000038361', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000035246', '10090.ENSMUSP00000045888', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000053971', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000097743', '10090.ENSMUSP00000002549', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000075507', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000116130', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000068940']",0.0006563180187604612,0.04880986619520107
2,GO:0008610,Lipid biosynthetic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000103012', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000002084']",0.0006451898305105154,0.04813036482542949
3,path:mmu03320,PPAR signaling pathway,KEGG,"['10090.ENSMUSP00000027153', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000010795']",0.0006398333004303889,0.04787854758948143
4,GO:1901606,Alpha-amino acid catabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000112908', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000031707']",0.0006131236728810463,0.04602235768178537
5,GO:0048871,Multicellular organismal homeostasis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000041204']",0.000609765421116783,0.04591286675511727
6,GO:0042758,Long-chain fatty acid catabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000027153', '10090.ENSMUSP00000002084']",0.0005662804037714943,0.042771866747365675
7,GO:0070127,tRNA aminoacylation for mitochondrial protein translation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000034441', '10090.ENSMUSP00000024733']",0.0005662804037714943,0.042771866747365675
8,MMU-77111,Synthesis of Ketone Bodies,Reactome Pathways,"['10090.ENSMUSP00000034547', '10090.ENSMUSP00000031445']",0.0005662804037714943,0.042771866747365675
9,GO:2000096,"Positive regulation of wnt signaling pathway, planar cell polarity pathway",Biological Process (Gene Ontology),"['10090.ENSMUSP00000075167', '10090.ENSMUSP00000027888']",0.0005662804037714943,0.042771866747365675
10,GO:0006091,Generation of precursor metabolites and energy,Biological Process (Gene Ontology),"['10090.ENSMUSP00000072483', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000031707']",0.0005582777663928291,0.04270118232188189
11,GO:0065009,Regulation of molecular function,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000041204']",0.0005476353869798018,0.042020150169212095
12,GO:0055088,Lipid homeostasis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000035246', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000069495']",0.0004925845991052519,0.03791646420501254
13,WP2316,PPAR signaling pathway,WikiPathways,"['10090.ENSMUSP00000027153', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000010795']",0.0004911122206560846,0.03791646420501254
14,MMU-5663213,RHO GTPases Activate WASPs and WAVEs,Reactome Pathways,"['10090.ENSMUSP00000075167', '10090.ENSMUSP00000058754', '10090.ENSMUSP00000118491']",0.0004862678757469573,0.037670174861551144
15,GO:1901682,Sulfur compound transmembrane transporter activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000097743', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000031822']",0.00044534434164944113,0.034610844815649494
16,GO:0140328,Floppase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000009058', '10090.ENSMUSP00000041204']",0.0004266265511186596,0.03326310884044517
17,GO:0030299,Intestinal cholesterol absorption,Biological Process (Gene Ontology),"['10090.ENSMUSP00000035246', '10090.ENSMUSP00000069495']",0.0004266265511186596,0.03326310884044517
18,GO:0016885,"Ligase activity, forming carbon-carbon bonds",Molecular Function (Gene Ontology),"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000099490']",0.0004266265511186596,0.03326310884044517
19,GO:0003997,acyl-CoA oxidase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000027153', '10090.ENSMUSP00000042351']",0.0004266265511186596,0.03326310884044517
20,GO:0071715,Icosanoid transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000097743', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000001963']",0.00040666870010344755,0.03212151137745205
21,GO:1901571,Fatty acid derivative transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000097743', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000001963']",0.00040666870010344755,0.03212151137745205
22,GO:0031526,Brush border membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000026208', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000041204']",0.0003871880960558334,0.030784000926544385
23,GO:0010565,Regulation of cellular ketone metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000068940']",0.00038257344254365665,0.030517492099934592
24,GO:0031224,Intrinsic component of membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000047927', '10090.ENSMUSP00000110172', '10090.ENSMUSP00000007251', '10090.ENSMUSP00000040465', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000129169', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000031354', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000097860', '10090.ENSMUSP00000126916', '10090.ENSMUSP00000075011', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000140827', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000020948', '10090.ENSMUSP00000035458', '10090.ENSMUSP00000053558', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000021666', '10090.ENSMUSP00000027396', '10090.ENSMUSP00000112538', '10090.ENSMUSP00000038361', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000035246', '10090.ENSMUSP00000097743', '10090.ENSMUSP00000002549', '10090.ENSMUSP00000075507', '10090.ENSMUSP00000045134', '10090.ENSMUSP00000116130', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000068940']",0.00035890065264105133,0.028723936338855
25,GO:0043231,Intracellular membrane-bounded organelle,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000024733', '10090.ENSMUSP00000047927', '10090.ENSMUSP00000112908', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000110172', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000103012', '10090.ENSMUSP00000040465', '10090.ENSMUSP00000043041', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000078593', '10090.ENSMUSP00000037348', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000129169', '10090.ENSMUSP00000038476', '10090.ENSMUSP00000030795', '10090.ENSMUSP00000043424', '10090.ENSMUSP00000031354', '10090.ENSMUSP00000080256', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000097860', '10090.ENSMUSP00000011492', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000075011', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000063548', '10090.ENSMUSP00000018841', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000036881', '10090.ENSMUSP00000092702', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000031524', '10090.ENSMUSP00000020948', '10090.ENSMUSP00000035458', '10090.ENSMUSP00000034441', '10090.ENSMUSP00000053558', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000021666', '10090.ENSMUSP00000110729', '10090.ENSMUSP00000027396', '10090.ENSMUSP00000007005', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000112538', '10090.ENSMUSP00000031707', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000045888', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000068940']",0.0003579584172006959,0.028723936338855
26,GO:0016491,Oxidoreductase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000072483', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000043424', '10090.ENSMUSP00000031524', '10090.ENSMUSP00000112908', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000011492', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000031707']",0.0003110333052045232,0.02505891662264442
27,GO:0090554,Phosphatidylcholine floppase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000009058', '10090.ENSMUSP00000041204']",0.00030610811256949813,0.024744592243494214
28,MMU-163765,ChREBP activates metabolic gene expression,Reactome Pathways,"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000099490']",0.00030610811256949813,0.024744592243494214
29,GO:0016421,CoA carboxylase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000099490']",0.00030610811256949813,0.024744592243494214
30,GO:0006102,Isocitrate metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000023116', '10090.ENSMUSP00000138215']",0.00030610811256949813,0.024744592243494214
31,GO:0006099,Tricarboxylic acid cycle,Biological Process (Gene Ontology),"['10090.ENSMUSP00000023116', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000100038']",0.0003036264254988527,0.024744592243494214
32,GO:0030027,Lamellipodium,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000058754', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000061893', '10090.ENSMUSP00000078336', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000041243']",0.00029732554329076354,0.02444339585489032
33,GO:0022600,Digestive system process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000035246', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000100038']",0.00028415201426242997,0.023440116671409324
34,GO:0042592,Homeostatic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000035246', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000075507', '10090.ENSMUSP00000031445', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000041204']",0.00027572708766508426,0.0228230264002229
35,GO:0042537,Benzene-containing compound metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000078436', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000010795']",0.00027343371188540437,0.02271097187721726
36,GO:0016289,CoA hydrolase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000080256', '10090.ENSMUSP00000037348', '10090.ENSMUSP00000092702']",0.00027343371188540437,0.02271097187721726
37,GO:0045922,Negative regulation of fatty acid metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000027153', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000099642']",0.0002452285828902981,0.020509255530998288
38,MMU-189445,Metabolism of porphyrins,Reactome Pathways,"['10090.ENSMUSP00000097743', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000031822']",0.0002452285828902981,0.020509255530998288
