Node ID: 10090.ENSMUSP00000112410, Between Value: 311.0
Node ID: 10090.ENSMUSP00000099642, Between Value: 0.0
Node ID: 10090.ENSMUSP00000094778, Between Value: 128.77857142857144
Node ID: 10090.ENSMUSP00000114769, Between Value: 0.0
Node ID: 10090.ENSMUSP00000029464, Between Value: 0.0
Node ID: 10090.ENSMUSP00000000642, Between Value: 906.5952655187948
Node ID: 10090.ENSMUSP00000115883, Between Value: 55.933893557422984
Node ID: 10090.ENSMUSP00000012612, Between Value: 0.0
Node ID: 10090.ENSMUSP00000089464, Between Value: 0.0
Node ID: 10090.ENSMUSP00000125003, Between Value: 46.616491525637905
Node ID: 10090.ENSMUSP00000138399, Between Value: 0.5
Node ID: 10090.ENSMUSP00000109190, Between Value: 0.0
Node ID: 10090.ENSMUSP00000107795, Between Value: 0.0
Node ID: 10090.ENSMUSP00000054233, Between Value: 0.0
Node ID: 10090.ENSMUSP00000027127, Between Value: 746.4550347030622
Node ID: 10090.ENSMUSP00000037268, Between Value: 0.0
Node ID: 10090.ENSMUSP00000026217, Between Value: 708.9728707726198
Node ID: 10090.ENSMUSP00000070583, Between Value: 615.0
Node ID: 10090.ENSMUSP00000039109, Between Value: 1005.3121057630887
Node ID: 10090.ENSMUSP00000031524, Between Value: 111.98687572590005
Node ID: 10090.ENSMUSP00000020920, Between Value: 0.0
Node ID: 10090.ENSMUSP00000098035, Between Value: 706.7025280275282
Node ID: 10090.ENSMUSP00000088365, Between Value: 0.0
Node ID: 10090.ENSMUSP00000116108, Between Value: 156.0
Node ID: 10090.ENSMUSP00000008826, Between Value: 310.0
Node ID: 10090.ENSMUSP00000036141, Between Value: 103.46624747801224
Node ID: 10090.ENSMUSP00000014499, Between Value: 0.0
Node ID: 10090.ENSMUSP00000055797, Between Value: 0.0
Node ID: 10090.ENSMUSP00000085763, Between Value: 0.0
Node ID: 10090.ENSMUSP00000068758, Between Value: 0.0
Node ID: 10090.ENSMUSP00000128803, Between Value: 26.98169036845507
Node ID: 10090.ENSMUSP00000124131, Between Value: 0.0
Node ID: 10090.ENSMUSP00000043543, Between Value: 156.0
Node ID: 10090.ENSMUSP00000049852, Between Value: 0.0
Node ID: 10090.ENSMUSP00000028937, Between Value: 0.0
Node ID: 10090.ENSMUSP00000138379, Between Value: 0.0
Node ID: 10090.ENSMUSP00000041939, Between Value: 0.0
Node ID: 10090.ENSMUSP00000066092, Between Value: 107.0262485481996
Node ID: 10090.ENSMUSP00000032936, Between Value: 320.2412698412698
Node ID: 10090.ENSMUSP00000044665, Between Value: 156.0
Node ID: 10090.ENSMUSP00000000127, Between Value: 0.0
Node ID: 10090.ENSMUSP00000036991, Between Value: 0.0
Node ID: 10090.ENSMUSP00000099587, Between Value: 921.201050315268
Node ID: 10090.ENSMUSP00000099757, Between Value: 615.0
Node ID: 10090.ENSMUSP00000066620, Between Value: 77.5
Node ID: 10090.ENSMUSP00000003312, Between Value: 0.0
Node ID: 10090.ENSMUSP00000104867, Between Value: 0.0
Node ID: 10090.ENSMUSP00000083317, Between Value: 0.0
Node ID: 10090.ENSMUSP00000020490, Between Value: 1880.4852347146546
Node ID: 10090.ENSMUSP00000036936, Between Value: 2637.7096960525323
Node ID: 10090.ENSMUSP00000098558, Between Value: 0.0
Node ID: 10090.ENSMUSP00000131976, Between Value: 0.0
Node ID: 10090.ENSMUSP00000045973, Between Value: 2.0
Node ID: 10090.ENSMUSP00000029175, Between Value: 3205.598305956097
Node ID: 10090.ENSMUSP00000026292, Between Value: 0.0
Node ID: 10090.ENSMUSP00000070993, Between Value: 1384.762480166893
Node ID: 10090.ENSMUSP00000037446, Between Value: 0.0
Node ID: 10090.ENSMUSP00000022293, Between Value: 328.0909228026874
Node ID: 10090.ENSMUSP00000108413, Between Value: 725.4687365808941
Node ID: 10090.ENSMUSP00000104462, Between Value: 464.0
Node ID: 10090.ENSMUSP00000128881, Between Value: 0.0
Node ID: 10090.ENSMUSP00000114843, Between Value: 464.0
Node ID: 10090.ENSMUSP00000031651, Between Value: 0.0
Node ID: 10090.ENSMUSP00000023007, Between Value: 311.0
Node ID: 10090.ENSMUSP00000106025, Between Value: 140.64733044733038
Node ID: 10090.ENSMUSP00000070012, Between Value: 1047.0045622381967
Node ID: 10090.ENSMUSP00000124863, Between Value: 0.0
Node ID: 10090.ENSMUSP00000035112, Between Value: 0.0
Node ID: 10090.ENSMUSP00000123924, Between Value: 0.0
Node ID: 10090.ENSMUSP00000075463, Between Value: 6.323809523809524
Node ID: 10090.ENSMUSP00000110746, Between Value: 34.55353535353535
Node ID: 10090.ENSMUSP00000101951, Between Value: 0.0
Node ID: 10090.ENSMUSP00000013970, Between Value: 0.5
Node ID: 10090.ENSMUSP00000105709, Between Value: 330.97699049316697
Node ID: 10090.ENSMUSP00000038514, Between Value: 3841.776895193258
Node ID: 10090.ENSMUSP00000109164, Between Value: 778.3775279956766
Node ID: 10090.ENSMUSP00000076988, Between Value: 0.0
Node ID: 10090.ENSMUSP00000099935, Between Value: 6.323809523809524
Node ID: 10090.ENSMUSP00000027032, Between Value: 0.0
Node ID: 10090.ENSMUSP00000003622, Between Value: 0.0
Node ID: 10090.ENSMUSP00000092233, Between Value: 2.0
Node ID: 10090.ENSMUSP00000035642, Between Value: 0.0
Node ID: 10090.ENSMUSP00000026459, Between Value: 802.3861608979258
Node ID: 10090.ENSMUSP00000089680, Between Value: 0.0
Node ID: 10090.ENSMUSP00000128871, Between Value: 68.30746753246753
Node ID: 10090.ENSMUSP00000026122, Between Value: 612.0
Node ID: 10090.ENSMUSP00000126825, Between Value: 0.0
Node ID: 10090.ENSMUSP00000090335, Between Value: 0.0
Node ID: 10090.ENSMUSP00000030986, Between Value: 0.0
Node ID: 10090.ENSMUSP00000084400, Between Value: 0.0
Node ID: 10090.ENSMUSP00000044004, Between Value: 0.0
Node ID: 10090.ENSMUSP00000119242, Between Value: 0.0
Node ID: 10090.ENSMUSP00000025081, Between Value: 310.0
Node ID: 10090.ENSMUSP00000052872, Between Value: 1328.2605480651087
Node ID: 10090.ENSMUSP00000022062, Between Value: 442.5002743692033
Node ID: 10090.ENSMUSP00000117987, Between Value: 0.0
Node ID: 10090.ENSMUSP00000059389, Between Value: 0.0
Node ID: 10090.ENSMUSP00000031061, Between Value: 311.0
Node ID: 10090.ENSMUSP00000111501, Between Value: 376.556031802013
Node ID: 10090.ENSMUSP00000055449, Between Value: 0.0
Node ID: 10090.ENSMUSP00000026665, Between Value: 462.0
Node ID: 10090.ENSMUSP00000029013, Between Value: 33.04627039627043
Node ID: 10090.ENSMUSP00000084794, Between Value: 365.2608946608947
Node ID: 10090.ENSMUSP00000018710, Between Value: 3965.7621044284697
Node ID: 10090.ENSMUSP00000101006, Between Value: 1073.1279525733523
Node ID: 10090.ENSMUSP00000004646, Between Value: 0.0
Node ID: 10090.ENSMUSP00000110583, Between Value: 0.0
Node ID: 10090.ENSMUSP00000113800, Between Value: 0.0
Node ID: 10090.ENSMUSP00000100503, Between Value: 0.0
Node ID: 10090.ENSMUSP00000021040, Between Value: 0.0
Node ID: 10090.ENSMUSP00000044472, Between Value: 0.0
Node ID: 10090.ENSMUSP00000105295, Between Value: 1118.6378955715302
Node ID: 10090.ENSMUSP00000124611, Between Value: 0.0
