category,fdr_rate,name,proteins
KEGG,3.527362376351763e-39,"ABC transporters","10090.ENSMUSP00000112538,10090.ENSMUSP00000013995,10090.ENSMUSP00000040465,10090.ENSMUSP00000047927,10090.ENSMUSP00000035458,10090.ENSMUSP00000020948,10090.ENSMUSP00000097860,10090.ENSMUSP00000110729,10090.ENSMUSP00000031354,10090.ENSMUSP00000075011,10090.ENSMUSP00000041204,10090.ENSMUSP00000009058,10090.ENSMUSP00000027396,10090.ENSMUSP00000033695,10090.ENSMUSP00000097743,10090.ENSMUSP00000026208,10090.ENSMUSP00000002084,10090.ENSMUSP00000068940,10090.ENSMUSP00000029770,10090.ENSMUSP00000021666,10090.ENSMUSP00000124647,10090.ENSMUSP00000031822,10090.ENSMUSP00000069495,10090.ENSMUSP00000035246"
Molecular Function (Gene Ontology),3.753019305100267e-30,"ATPase-coupled transmembrane transporter activity","10090.ENSMUSP00000002084,10090.ENSMUSP00000009058,10090.ENSMUSP00000013995,10090.ENSMUSP00000020948,10090.ENSMUSP00000021666,10090.ENSMUSP00000026208,10090.ENSMUSP00000027396,10090.ENSMUSP00000029770,10090.ENSMUSP00000031354,10090.ENSMUSP00000031822,10090.ENSMUSP00000033695,10090.ENSMUSP00000035246,10090.ENSMUSP00000035458,10090.ENSMUSP00000040465,10090.ENSMUSP00000041204,10090.ENSMUSP00000047927,10090.ENSMUSP00000068940,10090.ENSMUSP00000069495,10090.ENSMUSP00000075011,10090.ENSMUSP00000097743,10090.ENSMUSP00000097860,10090.ENSMUSP00000110729,10090.ENSMUSP00000112538"
Molecular Function (Gene Ontology),1.255306706981797e-29,"Primary active transmembrane transporter activity","10090.ENSMUSP00000002084,10090.ENSMUSP00000009058,10090.ENSMUSP00000013995,10090.ENSMUSP00000020948,10090.ENSMUSP00000021666,10090.ENSMUSP00000026208,10090.ENSMUSP00000027396,10090.ENSMUSP00000029770,10090.ENSMUSP00000031354,10090.ENSMUSP00000031822,10090.ENSMUSP00000033695,10090.ENSMUSP00000035246,10090.ENSMUSP00000035458,10090.ENSMUSP00000040465,10090.ENSMUSP00000041204,10090.ENSMUSP00000047927,10090.ENSMUSP00000068940,10090.ENSMUSP00000069495,10090.ENSMUSP00000075011,10090.ENSMUSP00000097743,10090.ENSMUSP00000097860,10090.ENSMUSP00000110729,10090.ENSMUSP00000112538"
Biological Process (Gene Ontology),2.546190976223748e-22,"Carboxylic acid metabolic process","10090.ENSMUSP00000002084,10090.ENSMUSP00000007005,10090.ENSMUSP00000007251,10090.ENSMUSP00000010795,10090.ENSMUSP00000011492,10090.ENSMUSP00000015829,10090.ENSMUSP00000023116,10090.ENSMUSP00000024733,10090.ENSMUSP00000026208,10090.ENSMUSP00000027153,10090.ENSMUSP00000029770,10090.ENSMUSP00000031445,10090.ENSMUSP00000031524,10090.ENSMUSP00000031707,10090.ENSMUSP00000031822,10090.ENSMUSP00000034441,10090.ENSMUSP00000034547,10090.ENSMUSP00000037348,10090.ENSMUSP00000042351,10090.ENSMUSP00000043424,10090.ENSMUSP00000053971,10090.ENSMUSP00000063548,10090.ENSMUSP00000068940,10090.ENSMUSP00000072483,10090.ENSMUSP00000078436,10090.ENSMUSP00000080256,10090.ENSMUSP00000092702,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000099642,10090.ENSMUSP00000100038,10090.ENSMUSP00000103012,10090.ENSMUSP00000112908,10090.ENSMUSP00000113792,10090.ENSMUSP00000138215"
Biological Process (Gene Ontology),1.4701505060695165e-21,"Oxoacid metabolic process","10090.ENSMUSP00000002084,10090.ENSMUSP00000007005,10090.ENSMUSP00000007251,10090.ENSMUSP00000010795,10090.ENSMUSP00000011492,10090.ENSMUSP00000015829,10090.ENSMUSP00000023116,10090.ENSMUSP00000024733,10090.ENSMUSP00000026208,10090.ENSMUSP00000027153,10090.ENSMUSP00000029770,10090.ENSMUSP00000031445,10090.ENSMUSP00000031524,10090.ENSMUSP00000031707,10090.ENSMUSP00000031822,10090.ENSMUSP00000034441,10090.ENSMUSP00000034547,10090.ENSMUSP00000037348,10090.ENSMUSP00000042351,10090.ENSMUSP00000043424,10090.ENSMUSP00000053971,10090.ENSMUSP00000063548,10090.ENSMUSP00000068940,10090.ENSMUSP00000072483,10090.ENSMUSP00000078436,10090.ENSMUSP00000080256,10090.ENSMUSP00000092702,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000099642,10090.ENSMUSP00000100038,10090.ENSMUSP00000103012,10090.ENSMUSP00000112908,10090.ENSMUSP00000113792,10090.ENSMUSP00000138215"
Molecular Function (Gene Ontology),1.9839240912814186e-21,"ATPase activity","10090.ENSMUSP00000002084,10090.ENSMUSP00000003319,10090.ENSMUSP00000009058,10090.ENSMUSP00000013995,10090.ENSMUSP00000020948,10090.ENSMUSP00000021666,10090.ENSMUSP00000026208,10090.ENSMUSP00000027396,10090.ENSMUSP00000029770,10090.ENSMUSP00000030795,10090.ENSMUSP00000031354,10090.ENSMUSP00000031822,10090.ENSMUSP00000033695,10090.ENSMUSP00000035246,10090.ENSMUSP00000035458,10090.ENSMUSP00000036881,10090.ENSMUSP00000040465,10090.ENSMUSP00000041204,10090.ENSMUSP00000047927,10090.ENSMUSP00000068940,10090.ENSMUSP00000069495,10090.ENSMUSP00000075011,10090.ENSMUSP00000079379,10090.ENSMUSP00000097743,10090.ENSMUSP00000097860,10090.ENSMUSP00000110729,10090.ENSMUSP00000112538"
Biological Process (Gene Ontology),2.484349251392423e-21,"Organic acid metabolic process","10090.ENSMUSP00000002084,10090.ENSMUSP00000007005,10090.ENSMUSP00000007251,10090.ENSMUSP00000010795,10090.ENSMUSP00000011492,10090.ENSMUSP00000015829,10090.ENSMUSP00000023116,10090.ENSMUSP00000024733,10090.ENSMUSP00000026208,10090.ENSMUSP00000027153,10090.ENSMUSP00000029770,10090.ENSMUSP00000031445,10090.ENSMUSP00000031524,10090.ENSMUSP00000031707,10090.ENSMUSP00000031822,10090.ENSMUSP00000034441,10090.ENSMUSP00000034547,10090.ENSMUSP00000037348,10090.ENSMUSP00000042351,10090.ENSMUSP00000043424,10090.ENSMUSP00000053971,10090.ENSMUSP00000063548,10090.ENSMUSP00000068940,10090.ENSMUSP00000072483,10090.ENSMUSP00000078436,10090.ENSMUSP00000080256,10090.ENSMUSP00000092702,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000099642,10090.ENSMUSP00000100038,10090.ENSMUSP00000103012,10090.ENSMUSP00000112908,10090.ENSMUSP00000113792,10090.ENSMUSP00000138215"
Molecular Function (Gene Ontology),3.8875121400687404e-21,"Adenyl ribonucleotide binding","10090.ENSMUSP00000002084,10090.ENSMUSP00000003319,10090.ENSMUSP00000009058,10090.ENSMUSP00000011492,10090.ENSMUSP00000013995,10090.ENSMUSP00000020948,10090.ENSMUSP00000021666,10090.ENSMUSP00000024733,10090.ENSMUSP00000026208,10090.ENSMUSP00000027153,10090.ENSMUSP00000027396,10090.ENSMUSP00000027888,10090.ENSMUSP00000029770,10090.ENSMUSP00000030795,10090.ENSMUSP00000031354,10090.ENSMUSP00000031445,10090.ENSMUSP00000031524,10090.ENSMUSP00000031822,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000035246,10090.ENSMUSP00000035458,10090.ENSMUSP00000036881,10090.ENSMUSP00000040465,10090.ENSMUSP00000041204,10090.ENSMUSP00000047927,10090.ENSMUSP00000068940,10090.ENSMUSP00000069495,10090.ENSMUSP00000072483,10090.ENSMUSP00000075011,10090.ENSMUSP00000075167,10090.ENSMUSP00000079379,10090.ENSMUSP00000097743,10090.ENSMUSP00000097860,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000099642,10090.ENSMUSP00000103012,10090.ENSMUSP00000110172,10090.ENSMUSP00000110729,10090.ENSMUSP00000112538,10090.ENSMUSP00000113792,10090.ENSMUSP00000138215"
Molecular Function (Gene Ontology),4.782653631826133e-21,"Adenyl nucleotide binding","10090.ENSMUSP00000002084,10090.ENSMUSP00000003319,10090.ENSMUSP00000009058,10090.ENSMUSP00000011492,10090.ENSMUSP00000013995,10090.ENSMUSP00000020948,10090.ENSMUSP00000021666,10090.ENSMUSP00000024733,10090.ENSMUSP00000026208,10090.ENSMUSP00000027153,10090.ENSMUSP00000027396,10090.ENSMUSP00000027888,10090.ENSMUSP00000029770,10090.ENSMUSP00000030795,10090.ENSMUSP00000031354,10090.ENSMUSP00000031445,10090.ENSMUSP00000031524,10090.ENSMUSP00000031822,10090.ENSMUSP00000033695,10090.ENSMUSP00000034441,10090.ENSMUSP00000035246,10090.ENSMUSP00000035458,10090.ENSMUSP00000036881,10090.ENSMUSP00000040465,10090.ENSMUSP00000041204,10090.ENSMUSP00000047927,10090.ENSMUSP00000068940,10090.ENSMUSP00000069495,10090.ENSMUSP00000072483,10090.ENSMUSP00000075011,10090.ENSMUSP00000075167,10090.ENSMUSP00000079379,10090.ENSMUSP00000097743,10090.ENSMUSP00000097860,10090.ENSMUSP00000099490,10090.ENSMUSP00000099634,10090.ENSMUSP00000099642,10090.ENSMUSP00000103012,10090.ENSMUSP00000110172,10090.ENSMUSP00000110729,10090.ENSMUSP00000112538,10090.ENSMUSP00000113792,10090.ENSMUSP00000138215"
Reactome Pathways,7.100479265614118e-21,"ABC-family proteins mediated transport","10090.ENSMUSP00000002084,10090.ENSMUSP00000013995,10090.ENSMUSP00000020948,10090.ENSMUSP00000026208,10090.ENSMUSP00000027396,10090.ENSMUSP00000029770,10090.ENSMUSP00000031354,10090.ENSMUSP00000033695,10090.ENSMUSP00000035246,10090.ENSMUSP00000035458,10090.ENSMUSP00000036881,10090.ENSMUSP00000041204,10090.ENSMUSP00000047927,10090.ENSMUSP00000068940,10090.ENSMUSP00000069495,10090.ENSMUSP00000097743,10090.ENSMUSP00000110729,10090.ENSMUSP00000124647"
