,id,name,category,proteins,p_value,fdr_rate
0,GO:0031058,Positive regulation of histone modification,Biological Process (Gene Ontology),"['10090.ENSMUSP00000005406', '10090.ENSMUSP00000095866', '10090.ENSMUSP00000020846', '10090.ENSMUSP00000054852', '10090.ENSMUSP00000128504', '10090.ENSMUSP00000070583', '10090.ENSMUSP00000059385']",0.005724775305214868,0.049399435604085454
1,MMU-73886,Chromosome Maintenance,Reactome Pathways,"['10090.ENSMUSP00000029643', '10090.ENSMUSP00000028817', '10090.ENSMUSP00000112063', '10090.ENSMUSP00000023867', '10090.ENSMUSP00000128504', '10090.ENSMUSP00000120014', '10090.ENSMUSP00000025773']",0.005724775305214868,0.049399435604085454
2,GO:0045667,Regulation of osteoblast differentiation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000079341', '10090.ENSMUSP00000095249', '10090.ENSMUSP00000028288', '10090.ENSMUSP00000132547', '10090.ENSMUSP00000025856', '10090.ENSMUSP00000138836', '10090.ENSMUSP00000025263', '10090.ENSMUSP00000021900']",0.005706925348106143,0.049280595092434966
3,GO:0019955,Cytokine binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000110126', '10090.ENSMUSP00000007757', '10090.ENSMUSP00000027050', '10090.ENSMUSP00000138836', '10090.ENSMUSP00000027243', '10090.ENSMUSP00000027559', '10090.ENSMUSP00000009705', '10090.ENSMUSP00000023693']",0.005706925348106143,0.049280595092434966
4,GO:0050806,Positive regulation of synaptic transmission,Biological Process (Gene Ontology),"['10090.ENSMUSP00000005406', '10090.ENSMUSP00000098786', '10090.ENSMUSP00000107869', '10090.ENSMUSP00000140112', '10090.ENSMUSP00000007803', '10090.ENSMUSP00000025263', '10090.ENSMUSP00000025791', '10090.ENSMUSP00000111415', '10090.ENSMUSP00000021607', '10090.ENSMUSP00000083375']",0.005695914195796657,0.04922068148459249
5,GO:0031226,Intrinsic component of plasma membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000098786', '10090.ENSMUSP00000010753', '10090.ENSMUSP00000069284', '10090.ENSMUSP00000138836', '10090.ENSMUSP00000023693', '10090.ENSMUSP00000023774', '10090.ENSMUSP00000025279', '10090.ENSMUSP00000014505', '10090.ENSMUSP00000100862', '10090.ENSMUSP00000030010', '10090.ENSMUSP00000064048', '10090.ENSMUSP00000066108', '10090.ENSMUSP00000099907', '10090.ENSMUSP00000083971', '10090.ENSMUSP00000023099', '10090.ENSMUSP00000025263', '10090.ENSMUSP00000069416', '10090.ENSMUSP00000030398', '10090.ENSMUSP00000016094', '10090.ENSMUSP00000032492', '10090.ENSMUSP00000030179', '10090.ENSMUSP00000026917', '10090.ENSMUSP00000050716', '10090.ENSMUSP00000028522', '10090.ENSMUSP00000025338', '10090.ENSMUSP00000107869', '10090.ENSMUSP00000028288', '10090.ENSMUSP00000018361', '10090.ENSMUSP00000072074', '10090.ENSMUSP00000068854', '10090.ENSMUSP00000024791', '10090.ENSMUSP00000021900', '10090.ENSMUSP00000015484', '10090.ENSMUSP00000096061', '10090.ENSMUSP00000007757', '10090.ENSMUSP00000029623', '10090.ENSMUSP00000029748', '10090.ENSMUSP00000110643', '10090.ENSMUSP00000021028']",0.00569579000215323,0.04922068148459249
6,GO:0006412,Translation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000129828', '10090.ENSMUSP00000029663', '10090.ENSMUSP00000081233', '10090.ENSMUSP00000022849', '10090.ENSMUSP00000126825', '10090.ENSMUSP00000128915', '10090.ENSMUSP00000072074', '10090.ENSMUSP00000031613', '10090.ENSMUSP00000018992', '10090.ENSMUSP00000045841', '10090.ENSMUSP00000022245', '10090.ENSMUSP00000023869', '10090.ENSMUSP00000004554', '10090.ENSMUSP00000117971']",0.00567628677269452,0.04908617219893616
7,GO:1903902,Positive regulation of viral life cycle,Biological Process (Gene Ontology),"['10090.ENSMUSP00000103028', '10090.ENSMUSP00000028288', '10090.ENSMUSP00000015800', '10090.ENSMUSP00000001809', '10090.ENSMUSP00000024897']",0.005601855838832815,0.04845986242827099
8,GO:0071675,Regulation of mononuclear cell migration,Biological Process (Gene Ontology),"['10090.ENSMUSP00000005406', '10090.ENSMUSP00000014743', '10090.ENSMUSP00000025257', '10090.ENSMUSP00000025025', '10090.ENSMUSP00000021607']",0.005601855838832815,0.04845986242827099
9,GO:0031113,Regulation of microtubule polymerization,Biological Process (Gene Ontology),"['10090.ENSMUSP00000075167', '10090.ENSMUSP00000079380', '10090.ENSMUSP00000033040', '10090.ENSMUSP00000099565', '10090.ENSMUSP00000114074']",0.005601855838832815,0.04845986242827099
10,GO:0098930,Axonal transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000095392', '10090.ENSMUSP00000021530', '10090.ENSMUSP00000032196', '10090.ENSMUSP00000023707', '10090.ENSMUSP00000022196']",0.005601855838832815,0.04845986242827099
11,MMU-5610780,Degradation of GLI1 by the proteasome,Reactome Pathways,"['10090.ENSMUSP00000028278', '10090.ENSMUSP00000115578', '10090.ENSMUSP00000021063', '10090.ENSMUSP00000119303', '10090.ENSMUSP00000021595']",0.005601855838832815,0.04845986242827099
12,GO:0005802,trans-Golgi network,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000079341', '10090.ENSMUSP00000079380', '10090.ENSMUSP00000069284', '10090.ENSMUSP00000003117', '10090.ENSMUSP00000007602', '10090.ENSMUSP00000021001', '10090.ENSMUSP00000021201', '10090.ENSMUSP00000023774', '10090.ENSMUSP00000052283', '10090.ENSMUSP00000113370', '10090.ENSMUSP00000022196']",0.005595971636818498,0.04845986242827099
13,GO:0060191,Regulation of lipase activity,Biological Process (Gene Ontology),"['10090.ENSMUSP00000075167', '10090.ENSMUSP00000115558', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000087047', '10090.ENSMUSP00000030412', '10090.ENSMUSP00000005651']",0.0055298845537507125,0.04794021150077286
14,GO:0003151,Outflow tract morphogenesis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000028288', '10090.ENSMUSP00000021530', '10090.ENSMUSP00000132547', '10090.ENSMUSP00000026917', '10090.ENSMUSP00000009705', '10090.ENSMUSP00000059385']",0.0055298845537507125,0.04794021150077286
15,GO:0016049,Cell growth,Biological Process (Gene Ontology),"['10090.ENSMUSP00000005406', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000004920', '10090.ENSMUSP00000024739', '10090.ENSMUSP00000032629', '10090.ENSMUSP00000130145', '10090.ENSMUSP00000026917']",0.005457075057084718,0.04734296630643849
16,path:mmu04710,Circadian rhythm,KEGG,"['10090.ENSMUSP00000140112', '10090.ENSMUSP00000021271', '10090.ENSMUSP00000022720', '10090.ENSMUSP00000113975']",0.0053438292265506745,0.04637714628571986
17,GO:0034358,Plasma lipoprotein particle,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000005406', '10090.ENSMUSP00000133302', '10090.ENSMUSP00000032065', '10090.ENSMUSP00000026021']",0.0053438292265506745,0.04637714628571986
18,GO:1990777,Lipoprotein particle,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000005406', '10090.ENSMUSP00000133302', '10090.ENSMUSP00000032065', '10090.ENSMUSP00000026021']",0.0053438292265506745,0.04637714628571986
19,GO:1902745,Positive regulation of lamellipodium organization,Biological Process (Gene Ontology),"['10090.ENSMUSP00000004646', '10090.ENSMUSP00000095249', '10090.ENSMUSP00000137503', '10090.ENSMUSP00000079380']",0.0053438292265506745,0.04637714628571986
20,GO:1904358,Positive regulation of telomere maintenance via telomere lengthening,Biological Process (Gene Ontology),"['10090.ENSMUSP00000026704', '10090.ENSMUSP00000022842', '10090.ENSMUSP00000003044', '10090.ENSMUSP00000027642']",0.0053438292265506745,0.04637714628571986
21,GO:0008536,Ran GTPase binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000009344', '10090.ENSMUSP00000032898', '10090.ENSMUSP00000002790', '10090.ENSMUSP00000036555']",0.0053438292265506745,0.04637714628571986
22,GO:0051491,Positive regulation of filopodium assembly,Biological Process (Gene Ontology),"['10090.ENSMUSP00000137503', '10090.ENSMUSP00000107439', '10090.ENSMUSP00000007757', '10090.ENSMUSP00000026917']",0.0053438292265506745,0.04637714628571986
23,GO:0051973,Positive regulation of telomerase activity,Biological Process (Gene Ontology),"['10090.ENSMUSP00000003044', '10090.ENSMUSP00000024739', '10090.ENSMUSP00000103245', '10090.ENSMUSP00000027642']",0.0053438292265506745,0.04637714628571986
24,MMU-1236394,Signaling by ERBB4,Reactome Pathways,"['10090.ENSMUSP00000029201', '10090.ENSMUSP00000098786', '10090.ENSMUSP00000010753', '10090.ENSMUSP00000115578']",0.0053438292265506745,0.04637714628571986
25,GO:0046688,Response to copper ion,Biological Process (Gene Ontology),"['10090.ENSMUSP00000005406', '10090.ENSMUSP00000128504', '10090.ENSMUSP00000028882', '10090.ENSMUSP00000023707']",0.0053438292265506745,0.04637714628571986
26,GO:0006458,De novo protein folding,Biological Process (Gene Ontology),"['10090.ENSMUSP00000015800', '10090.ENSMUSP00000025217', '10090.ENSMUSP00000028199', '10090.ENSMUSP00000030125']",0.0053438292265506745,0.04637714628571986
27,GO:0051084,De novo posttranslational protein folding,Biological Process (Gene Ontology),"['10090.ENSMUSP00000015800', '10090.ENSMUSP00000025217', '10090.ENSMUSP00000028199', '10090.ENSMUSP00000030125']",0.0053438292265506745,0.04637714628571986
28,GO:0009069,Serine family amino acid metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000025542', '10090.ENSMUSP00000023684', '10090.ENSMUSP00000020484', '10090.ENSMUSP00000026470']",0.0053438292265506745,0.04637714628571986
29,MMU-5357905,Regulation of TNFR1 signaling,Reactome Pathways,"['10090.ENSMUSP00000019997', '10090.ENSMUSP00000025263', '10090.ENSMUSP00000115578', '10090.ENSMUSP00000027189']",0.0053438292265506745,0.04637714628571986
30,GO:0006470,Protein dephosphorylation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000064048', '10090.ENSMUSP00000029053', '10090.ENSMUSP00000069257', '10090.ENSMUSP00000020118', '10090.ENSMUSP00000003183', '10090.ENSMUSP00000053101', '10090.ENSMUSP00000082053', '10090.ENSMUSP00000020608', '10090.ENSMUSP00000025025', '10090.ENSMUSP00000129124']",0.0053345172989609745,0.04637714628571986
31,GO:0072503,Cellular divalent inorganic cation homeostasis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000098786', '10090.ENSMUSP00000010753', '10090.ENSMUSP00000099404', '10090.ENSMUSP00000031423', '10090.ENSMUSP00000138836', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000133302', '10090.ENSMUSP00000005406', '10090.ENSMUSP00000066108', '10090.ENSMUSP00000019198', '10090.ENSMUSP00000022169', '10090.ENSMUSP00000030940', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000107869', '10090.ENSMUSP00000001008', '10090.ENSMUSP00000049584', '10090.ENSMUSP00000031530', '10090.ENSMUSP00000028881', '10090.ENSMUSP00000021796']",0.00525570761215194,0.04585936930892144
32,GO:1901568,Fatty acid derivative metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000025385', '10090.ENSMUSP00000072074', '10090.ENSMUSP00000021796', '10090.ENSMUSP00000003017', '10090.ENSMUSP00000029623', '10090.ENSMUSP00000099833', '10090.ENSMUSP00000016094', '10090.ENSMUSP00000031982']",0.005252442316380487,0.0458474289587997
33,GO:0030672,Synaptic vesicle membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000064048', '10090.ENSMUSP00000069284', '10090.ENSMUSP00000021001', '10090.ENSMUSP00000025239', '10090.ENSMUSP00000111415', '10090.ENSMUSP00000019317', '10090.ENSMUSP00000110643', '10090.ENSMUSP00000007803']",0.005252442316380487,0.0458474289587997
34,GO:0099501,Exocytic vesicle membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000064048', '10090.ENSMUSP00000069284', '10090.ENSMUSP00000021001', '10090.ENSMUSP00000025239', '10090.ENSMUSP00000111415', '10090.ENSMUSP00000019317', '10090.ENSMUSP00000110643', '10090.ENSMUSP00000007803']",0.005252442316380487,0.0458474289587997
35,GO:0045727,Positive regulation of translation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000113810', '10090.ENSMUSP00000081233', '10090.ENSMUSP00000077612', '10090.ENSMUSP00000076491', '10090.ENSMUSP00000026710', '10090.ENSMUSP00000025263', '10090.ENSMUSP00000032138', '10090.ENSMUSP00000134178']",0.005252442316380487,0.0458474289587997
36,GO:0030010,Establishment of cell polarity,Biological Process (Gene Ontology),"['10090.ENSMUSP00000016771', '10090.ENSMUSP00000051965', '10090.ENSMUSP00000090884', '10090.ENSMUSP00000033040', '10090.ENSMUSP00000113071', '10090.ENSMUSP00000021001', '10090.ENSMUSP00000024739', '10090.ENSMUSP00000021077']",0.005252442316380487,0.0458474289587997
37,path:mmu04934,Cushing syndrome,KEGG,"['10090.ENSMUSP00000071720', '10090.ENSMUSP00000107869', '10090.ENSMUSP00000140112', '10090.ENSMUSP00000015605', '10090.ENSMUSP00000107283', '10090.ENSMUSP00000049584', '10090.ENSMUSP00000023829', '10090.ENSMUSP00000005164', '10090.ENSMUSP00000000001']",0.005217407371432257,0.04562400006060697
38,GO:0030879,Mammary gland development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000140112', '10090.ENSMUSP00000014743', '10090.ENSMUSP00000021530', '10090.ENSMUSP00000025856', '10090.ENSMUSP00000006764', '10090.ENSMUSP00000085416', '10090.ENSMUSP00000027559', '10090.ENSMUSP00000107439', '10090.ENSMUSP00000030121']",0.005217407371432257,0.04562400006060697
39,GO:0021587,Cerebellum morphogenesis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000075167', '10090.ENSMUSP00000118546', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000101105', '10090.ENSMUSP00000105386']",0.005205007723377184,0.04554852884649766
40,GO:0032784,"Regulation of dna-templated transcription, elongation",Biological Process (Gene Ontology),"['10090.ENSMUSP00000118546', '10090.ENSMUSP00000001583', '10090.ENSMUSP00000079689', '10090.ENSMUSP00000018798', '10090.ENSMUSP00000134178']",0.005205007723377184,0.04554852884649766
41,GO:0045604,Regulation of epidermal cell differentiation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000131029', '10090.ENSMUSP00000028288', '10090.ENSMUSP00000085416', '10090.ENSMUSP00000021552', '10090.ENSMUSP00000020904']",0.005205007723377184,0.04554852884649766
42,GO:0008344,Adult locomotory behavior,Biological Process (Gene Ontology),"['10090.ENSMUSP00000005406', '10090.ENSMUSP00000005185', '10090.ENSMUSP00000027554', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000018361', '10090.ENSMUSP00000030412', '10090.ENSMUSP00000025279']",0.005198243105687028,0.04553879516652971
43,GO:0060965,Negative regulation of gene silencing by mirna,Biological Process (Gene Ontology),"['10090.ENSMUSP00000107033', '10090.ENSMUSP00000025263', '10090.ENSMUSP00000053101']",0.0051336019798320625,0.044988817930580474
44,GO:0035615,Clathrin adaptor activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000095866', '10090.ENSMUSP00000003117', '10090.ENSMUSP00000079689']",0.0051336019798320625,0.044988817930580474
45,GO:0042789,mRNA transcription by RNA polymerase II,Biological Process (Gene Ontology),"['10090.ENSMUSP00000022196', '10090.ENSMUSP00000020846', '10090.ENSMUSP00000120152']",0.0051336019798320625,0.044988817930580474
46,GO:0031527,Filopodium membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000032561', '10090.ENSMUSP00000113071', '10090.ENSMUSP00000021028']",0.0051336019798320625,0.044988817930580474
47,GO:2000047,Regulation of cell-cell adhesion mediated by cadherin,Biological Process (Gene Ontology),"['10090.ENSMUSP00000028288', '10090.ENSMUSP00000099652', '10090.ENSMUSP00000030860']",0.0051336019798320625,0.044988817930580474
48,GO:0005149,interleukin-1 receptor binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000028881', '10090.ENSMUSP00000028882', '10090.ENSMUSP00000110126']",0.0051336019798320625,0.044988817930580474
49,GO:0005686,U2 snRNP,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000030734', '10090.ENSMUSP00000008477', '10090.ENSMUSP00000002198']",0.0051336019798320625,0.044988817930580474
50,GO:0001921,Positive regulation of receptor recycling,Biological Process (Gene Ontology),"['10090.ENSMUSP00000098786', '10090.ENSMUSP00000010753', '10090.ENSMUSP00000079689']",0.0051336019798320625,0.044988817930580474
51,GO:2001185,"Regulation of cd8-positive, alpha-beta t cell activation",Biological Process (Gene Ontology),"['10090.ENSMUSP00000004829', '10090.ENSMUSP00000023673', '10090.ENSMUSP00000035400']",0.0051336019798320625,0.044988817930580474
52,GO:0098760,Response to interleukin-7,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099842', '10090.ENSMUSP00000027384', '10090.ENSMUSP00000030134']",0.0051336019798320625,0.044988817930580474
53,GO:0098761,Cellular response to interleukin-7,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099842', '10090.ENSMUSP00000027384', '10090.ENSMUSP00000030134']",0.0051336019798320625,0.044988817930580474
54,GO:0003299,Muscle hypertrophy in response to stress,Biological Process (Gene Ontology),"['10090.ENSMUSP00000132547', '10090.ENSMUSP00000031423', '10090.ENSMUSP00000053101']",0.0051336019798320625,0.044988817930580474
55,GO:0014887,Cardiac muscle adaptation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000132547', '10090.ENSMUSP00000031423', '10090.ENSMUSP00000053101']",0.0051336019798320625,0.044988817930580474
56,GO:0014898,Cardiac muscle hypertrophy in response to stress,Biological Process (Gene Ontology),"['10090.ENSMUSP00000132547', '10090.ENSMUSP00000031423', '10090.ENSMUSP00000053101']",0.0051336019798320625,0.044988817930580474
57,MMU-9706574,RHOBTB GTPase Cycle,Reactome Pathways,"['10090.ENSMUSP00000020904', '10090.ENSMUSP00000020101', '10090.ENSMUSP00000024739']",0.0051336019798320625,0.044988817930580474
58,GO:0060766,Negative regulation of androgen receptor signaling pathway,Biological Process (Gene Ontology),"['10090.ENSMUSP00000079689', '10090.ENSMUSP00000135181', '10090.ENSMUSP00000107033']",0.0051336019798320625,0.044988817930580474
59,GO:0003713,Transcription coactivator activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000005705', '10090.ENSMUSP00000027050', '10090.ENSMUSP00000025862', '10090.ENSMUSP00000130294', '10090.ENSMUSP00000021554', '10090.ENSMUSP00000085416', '10090.ENSMUSP00000128504', '10090.ENSMUSP00000026710', '10090.ENSMUSP00000002320', '10090.ENSMUSP00000070583', '10090.ENSMUSP00000117496', '10090.ENSMUSP00000118610']",0.005093081039824683,0.04489415344003012
60,GO:1903038,Negative regulation of leukocyte cell-cell adhesion,Biological Process (Gene Ontology),"['10090.ENSMUSP00000026999', '10090.ENSMUSP00000090979', '10090.ENSMUSP00000017153', '10090.ENSMUSP00000023673', '10090.ENSMUSP00000103245', '10090.ENSMUSP00000087047', '10090.ENSMUSP00000033004', '10090.ENSMUSP00000129124']",0.005035130145158111,0.04439952411837707
61,path:mmu05412,Arrhythmogenic right ventricular cardiomyopathy,KEGG,"['10090.ENSMUSP00000028522', '10090.ENSMUSP00000107869', '10090.ENSMUSP00000031423', '10090.ENSMUSP00000107283', '10090.ENSMUSP00000069416', '10090.ENSMUSP00000021028']",0.004916602316507251,0.0433701744488979
62,MMU-416482,G alpha (12/13) signalling events,Reactome Pathways,"['10090.ENSMUSP00000062782', '10090.ENSMUSP00000024810', '10090.ENSMUSP00000091331', '10090.ENSMUSP00000030940', '10090.ENSMUSP00000087714', '10090.ENSMUSP00000020904']",0.004916602316507251,0.0433701744488979
63,GO:0032088,Negative regulation of nf-kappab transcription factor activity,Biological Process (Gene Ontology),"['10090.ENSMUSP00000095866', '10090.ENSMUSP00000090979', '10090.ENSMUSP00000103245', '10090.ENSMUSP00000019997', '10090.ENSMUSP00000021413', '10090.ENSMUSP00000032815']",0.004916602316507251,0.0433701744488979
64,GO:0002526,Acute inflammatory response,Biological Process (Gene Ontology),"['10090.ENSMUSP00000110126', '10090.ENSMUSP00000028882', '10090.ENSMUSP00000028881', '10090.ENSMUSP00000120152', '10090.ENSMUSP00000029748', '10090.ENSMUSP00000030121']",0.004916602316507251,0.0433701744488979
65,GO:0007005,Mitochondrion organization,Biological Process (Gene Ontology),"['10090.ENSMUSP00000007012', '10090.ENSMUSP00000045201', '10090.ENSMUSP00000001127', '10090.ENSMUSP00000019198', '10090.ENSMUSP00000027554', '10090.ENSMUSP00000029815', '10090.ENSMUSP00000120152', '10090.ENSMUSP00000083928', '10090.ENSMUSP00000111415', '10090.ENSMUSP00000129186', '10090.ENSMUSP00000022196', '10090.ENSMUSP00000070583', '10090.ENSMUSP00000109397', '10090.ENSMUSP00000117496', '10090.ENSMUSP00000022634', '10090.ENSMUSP00000007803', '10090.ENSMUSP00000117971']",0.004831572584736866,0.042682423016480286
66,GO:0045668,Negative regulation of osteoblast differentiation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000095249', '10090.ENSMUSP00000028288', '10090.ENSMUSP00000025856', '10090.ENSMUSP00000025263', '10090.ENSMUSP00000021900']",0.004827312318350178,0.04266037979324453
67,GO:0002698,Negative regulation of immune effector process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000025270', '10090.ENSMUSP00000026999', '10090.ENSMUSP00000077612', '10090.ENSMUSP00000025263', '10090.ENSMUSP00000019997', '10090.ENSMUSP00000033004', '10090.ENSMUSP00000005548', '10090.ENSMUSP00000129124']",0.004824310919740322,0.04264944949894791
68,MMU-3858494,Beta-catenin independent WNT signaling,Reactome Pathways,"['10090.ENSMUSP00000028278', '10090.ENSMUSP00000079380', '10090.ENSMUSP00000115578', '10090.ENSMUSP00000021063', '10090.ENSMUSP00000107283', '10090.ENSMUSP00000030940', '10090.ENSMUSP00000021595', '10090.ENSMUSP00000053101']",0.004824310919740322,0.04264944949894791
69,GO:0033646,Host intracellular part,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000109087', '10090.ENSMUSP00000030134', '10090.ENSMUSP00000076491', '10090.ENSMUSP00000132435', '10090.ENSMUSP00000023612', '10090.ENSMUSP00000100902', '10090.ENSMUSP00000002320', '10090.ENSMUSP00000025773', '10090.ENSMUSP00000079818', '10090.ENSMUSP00000016231']",0.004823996926094094,0.04264944949894791
70,GO:0043656,Host intracellular region,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000109087', '10090.ENSMUSP00000030134', '10090.ENSMUSP00000076491', '10090.ENSMUSP00000132435', '10090.ENSMUSP00000023612', '10090.ENSMUSP00000100902', '10090.ENSMUSP00000002320', '10090.ENSMUSP00000025773', '10090.ENSMUSP00000079818', '10090.ENSMUSP00000016231']",0.004823996926094094,0.04264944949894791
71,path:mmu01040,Biosynthesis of unsaturated fatty acids,KEGG,"['10090.ENSMUSP00000119411', '10090.ENSMUSP00000025385', '10090.ENSMUSP00000026221', '10090.ENSMUSP00000028619']",0.004819345500057893,0.04264944949894791
72,GO:0090314,Positive regulation of protein targeting to membrane,Biological Process (Gene Ontology),"['10090.ENSMUSP00000033040', '10090.ENSMUSP00000104069', '10090.ENSMUSP00000019198', '10090.ENSMUSP00000137503']",0.004819345500057893,0.04264944949894791
73,GO:0001975,Response to amphetamine,Biological Process (Gene Ontology),"['10090.ENSMUSP00000023707', '10090.ENSMUSP00000115558', '10090.ENSMUSP00000033133', '10090.ENSMUSP00000053101']",0.004819345500057893,0.04264944949894791
74,GO:1903146,Regulation of autophagy of mitochondrion,Biological Process (Gene Ontology),"['10090.ENSMUSP00000021530', '10090.ENSMUSP00000022634', '10090.ENSMUSP00000111415', '10090.ENSMUSP00000020846']",0.004819345500057893,0.04264944949894791
75,MMU-174417,Telomere C-strand (Lagging Strand) Synthesis,Reactome Pathways,"['10090.ENSMUSP00000112063', '10090.ENSMUSP00000025773', '10090.ENSMUSP00000023867', '10090.ENSMUSP00000028817']",0.004819345500057893,0.04264944949894791
76,GO:0032728,Positive regulation of interferon-beta production,Biological Process (Gene Ontology),"['10090.ENSMUSP00000025270', '10090.ENSMUSP00000026571', '10090.ENSMUSP00000029623', '10090.ENSMUSP00000031850']",0.004819345500057893,0.04264944949894791
77,GO:0000184,"Nuclear-transcribed mrna catabolic process, nonsense-mediated decay",Biological Process (Gene Ontology),"['10090.ENSMUSP00000001809', '10090.ENSMUSP00000113393', '10090.ENSMUSP00000001451', '10090.ENSMUSP00000030436']",0.004819345500057893,0.04264944949894791
78,GO:0010719,Negative regulation of epithelial to mesenchymal transition,Biological Process (Gene Ontology),"['10090.ENSMUSP00000020608', '10090.ENSMUSP00000028829', '10090.ENSMUSP00000068267', '10090.ENSMUSP00000030860']",0.004819345500057893,0.04264944949894791
