id	name
C00022	Pyruvate
C00024	Acetyl-CoA
C00031	D-Glucose
C00033	Acetate
C00036	Oxaloacetate
C00068	Thiamin diphosphate
C00074	Phosphoenolpyruvate
C00084	Acetaldehyde
C00103	D-Glucose 1-phosphate
C00111	Glycerone phosphate
C00118	D-Glyceraldehyde 3-phosphate
C00186	(S)-Lactate
C00197	3-Phospho-D-glycerate
C00221	beta-D-Glucose
C00236	3-Phospho-D-glyceroyl phosphate
C00267	alpha-D-Glucose
C00469	Ethanol
C00631	2-Phospho-D-glycerate
C00668	alpha-D-Glucose 6-phosphate
C01159	2,3-Bisphospho-D-glycerate
C01172	beta-D-Glucose 6-phosphate
C01451	Salicin
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C05345	beta-D-Fructose 6-phosphate
C05378	beta-D-Fructose 1,6-bisphosphate
C06186	Arbutin
C06187	Arbutin 6-phosphate
C06188	Salicin 6-phosphate
C15972	Enzyme N6-(lipoyl)lysine
C15973	Enzyme N6-(dihydrolipoyl)lysine
C16255	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
C00026	2-Oxoglutarate
C00042	Succinate
C00091	Succinyl-CoA
C00122	Fumarate
C00149	(S)-Malate
C00158	Citrate
C00311	Isocitrate
C00417	cis-Aconitate
C05379	Oxalosuccinate
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C16254	[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine
C00117	D-Ribose 5-phosphate
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C00121	D-Ribose
C00198	D-Glucono-1,5-lactone
C00199	D-Ribulose 5-phosphate
C00204	2-Dehydro-3-deoxy-D-gluconate
C00231	D-Xylulose 5-phosphate
C00257	D-Gluconic acid
C00258	D-Glycerate
C00279	D-Erythrose 4-phosphate
C00345	6-Phospho-D-gluconate
C00577	D-Glyceraldehyde
C00620	alpha-D-Ribose 1-phosphate
C00672	2-Deoxy-D-ribose 1-phosphate
C00673	2-Deoxy-D-ribose 5-phosphate
C01151	D-Ribose 1,5-bisphosphate
C01218	6-Phospho-2-dehydro-D-gluconate
C01236	D-Glucono-1,5-lactone 6-phosphate
C01801	Deoxyribose
C03752	2-Amino-2-deoxy-D-gluconate
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate
C05382	Sedoheptulose 7-phosphate
C06019	D-arabino-Hex-3-ulose 6-phosphate
C06473	2-Keto-D-gluconic acid
C20589	D-Glucosaminate-6-phosphate
C00029	UDP-glucose
C00116	Glycerol
C00167	UDP-glucuronate
C00181	D-Xylose
C00191	D-Glucuronate
C00259	L-Arabinose
C00266	Glycolaldehyde
C00309	D-Ribulose
C00310	D-Xylulose
C00312	L-Xylulose
C00333	D-Galacturonate
C00379	Xylitol
C00433	2,5-Dioxopentanoate
C00470	Pectate
C00474	Ribitol
C00476	D-Lyxose
C00502	D-Xylonate
C00508	L-Ribulose
C00514	D-Mannonate
C00532	L-Arabitol
C00558	D-Tagaturonate
C00618	3-Dehydro-L-gulonate
C00714	Pectin
C00789	CDP-ribitol
C00800	L-Gulonate
C00817	D-Altronate
C00905	D-Fructuronate
C01068	D-Ribitol 5-phosphate
C01101	L-Ribulose 5-phosphate
C01508	L-Lyxose
C01904	D-Arabitol
C02266	D-Xylonolactone
C02273	Digalacturonate
C02426	L-Glyceraldehyde
C03033	beta-D-Glucuronoside
C03291	L-Xylulose 5-phosphate
C03826	2-Dehydro-3-deoxy-D-xylonate
C04053	5-Dehydro-4-deoxy-D-glucuronate
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate
C04575	(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate
C05385	D-Glucuronate 1-phosphate
C05411	L-Xylonate
C05412	L-Lyxonate
C06118	4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate
C06441	L-Xylulose 1-phosphate
C14899	3-Dehydro-L-gulonate 6-phosphate
C15930	L-Galactonate
C20680	2-Dehydro-3-deoxy-L-galactonate
C00095	D-Fructose
C00096	GDP-mannose
C00159	D-Mannose
C00247	L-Sorbose
C00275	D-Mannose 6-phosphate
C00325	GDP-L-fucose
C00392	Mannitol
C00424	(S)-Lactaldehyde
C00464	Mannan
C00507	L-Rhamnose
C00636	D-Mannose 1-phosphate
C00644	D-Mannitol 1-phosphate
C00665	beta-D-Fructose 2,6-bisphosphate
C00794	D-Sorbitol
C00861	L-Rhamnulose
C00976	GDP-D-mannuronate
C01019	6-Deoxy-L-galactose
C01094	D-Fructose 1-phosphate
C01096	Sorbitol 6-phosphate
C01099	L-Fuculose 1-phosphate
C01131	L-Rhamnulose 1-phosphate
C01222	GDP-4-dehydro-6-deoxy-D-mannose
C01355	Fructan
C01487	D-Allose
C01720	L-Fuconate
C01721	L-Fuculose
C01768	(Alginate)n
C01934	L-Rhamnonate
C02431	L-Rhamnofuranose
C02492	1,4-beta-D-Mannan
C02888	Sorbose 1-phosphate
C02962	D-Allose 6-phosphate
C02977	GDP-6-deoxy-D-talose
C02985	L-Fucose 1-phosphate
C02991	L-Rhamnono-1,4-lactone
C03117	GDP-6-deoxy-D-mannose
C03267	beta-D-Fructose 2-phosphate
C03827	2-Dehydro-3-deoxy-L-fuconate
C03979	2-Dehydro-3-deoxy-L-rhamnonate
C05144	(beta-D-Mannuronate)n
C05392	Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group
C06192	ADP-mannose
C11516	2-(alpha-D-Mannosyl)-3-phosphoglycerate
C11544	2-O-(alpha-D-Mannosyl)-D-glycerate
C18028	L-Fucono-1,5-lactone
C18096	D-Allulose 6-phosphate
C20781	2,4-Diketo-3-deoxy-L-fuconate
C00052	UDP-alpha-D-galactose
C00085	D-Fructose 6-phosphate
C00089	Sucrose
C00124	D-Galactose
C00137	myo-Inositol
C00243	Lactose
C00446	alpha-D-Galactose 1-phosphate
C00492	Raffinose
C00795	D-Tagatose
C00880	D-Galactonate
C00984	alpha-D-Galactose
C01097	D-Tagatose 6-phosphate
C01113	D-Galactose 6-phosphate
C01132	N-Acetyl-D-galactosamine
C01216	2-Dehydro-3-deoxy-D-galactonate
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol
C01286	2-Dehydro-3-deoxy-6-phospho-D-galactonate
C01613	Stachyose
C01697	Galactitol
C02262	D-Galactosamine
C02669	D-Galactono-1,5-lactone
C03383	D-Galactono-1,4-lactone
C03733	UDP-alpha-D-galactofuranose
C03785	D-Tagatose 1,6-bisphosphate
C05396	Lactose 6'-phosphate
C05399	Melibiitol
C05400	Epimelibiose
C05401	3-beta-D-Galactosyl-sn-glycerol
C05402	Melibiose
C05404	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose
C05796	Galactan
C06311	Galactitol 1-phosphate
C06376	N-Acetyl-D-galactosamine 6-phosphate
