id	name
H00069	Glycogen storage disease
H00071	Hereditary fructose intolerance
H00072	Pyruvate dehydrogenase complex deficiency
H00114	Fructose-1,6-bisphosphatase deficiency
H00664	Anemia due to disorders of glycolytic enzymes
H01071	Acute alcohol sensitivity
H01096	Pyruvate kinase deficiency
H01267	Familial hyperinsulinemic hypoglycemia
H01760	Hepatic glycogen storage disease
H01762	Muscle glycogen storage disease
H01939	Glycogen storage disease type I
H01945	Glycogen storage disease type VII
H01946	Glycogen storage disease type XI
H01951	Glycogen storage disease type X
H01952	Glycogen storage disease type XII
H01953	Glycogen storage disease type XIII
H01954	Glycogen storage disease type XIV
H01997	Pyruvate dehydrogenase E1-alpha deficiency
H01998	Pyruvate dehydrogenase E1-beta deficiency
H01999	Pyruvate dehydrogenase E2 deficiency
H02000	Dihydrolipoamide dehydrogenase deficiency
H00073	Pyruvate carboxylase deficiency
H00469	Mitochondrial DNA depletion syndrome
H00804	Multiple cutaneous and uterine leiomyomata
H01022	Diseases of the tricarboxylic acid cycle
H01225	D-2-hydroxyglutaric aciduria
H02004	Fumarase deficiency
H02005	Mitochondrial complex II deficiency
H02006	Alpha-ketoglutarate dehydrogenase complex deficiency
H02113	Infantile cerebellar-retinal degeneration
H00196	Phosphoribosylpyrophosphate synthetase superactivity
H00668	Anemia due to disorders of glutathione metabolism
H00946	Arts syndrome
H01111	Cortisone reductase deficiency
H01135	Ribose 5-phosphate isomerase deficiency
H01189	Transaldolase deficiency
H01375	Glucose 6-phosphate dehydrogenase deficiency
H01065	Pentosuria
H01193	Familial tumoral calcinosis
H00118	Congenital disorders of glycosylation type I
H00070	Galactosemia
H00116	Congenital lactase deficiency
H01940	Glycogen storage disease type II
H02008	Galactose-1P uridylyltransferase deficiency
H02009	Galactokinase deficiency
H02010	Galactose epimerase deficiency
H00149	Neuronal ceroid lipofuscinosis
H00186	Hyperargininemia
H00810	Progressive myoclonic epilepsy (PME/ EPM)
H00819	Stargardt disease
H01364	3-Hydroxyacyl-CoA dehydrogenase deficiency
H00162	Sjogren-Larsson syndrome
H00178	Glutaric acidemia
H00375	SBCAD deficiency
