"ENSEMBL"	"wt6h_wt0h"	"wt24h_wt0h"	"wt48h_wt0h"	"wt336h_wt0h"	"wtRC12h_wt0h"	"ENTREZID"	"SYMBOL"	"GENENAME"	"TF"	"PC"	"gene_cluster"
"ENSMUSG00000026158"	0.288090260158271	0.300141513027716	0.173843739551834	0.00217221545479774	1.00950281419865	"70155"	"Ogfrl1"	"opioid growth factor receptor-like 1"	"no"	"others"	"cluster 5"
"ENSMUSG00000026131"	1.34194246822366	0.683949972752309	0.414015570934507	0.00253003782892275	0.147552837189558	"13518"	"Dst"	"dystonin"	"no"	"others"	"cluster 3"
"ENSMUSG00000026126"	-1.86860834262289	-0.398348040150232	0.084364447898853	-0.000942735563901708	-0.659020665025563	"19253"	"Ptpn18"	"protein tyrosine phosphatase, non-receptor type 18"	"no"	"PC2"	"cluster 7"
"ENSMUSG00000037447"	1.95111954924986	0.749275233446466	1.64199642509639	0.00604884899360647	1.01343041454361	"214855"	"Arid5a"	"AT rich interactive domain 5A (MRF1-like)"	"no"	"PC1"	"cluster 2"
"ENSMUSG00000026121"	1.0737482978864	0.0353474338542283	0.368267444469896	-0.000458929955740194	0.368560203053315	"20353"	"Sema4c"	"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"	"no"	"others"	"cluster 3"
"ENSMUSG00000026073"	2.94323694261938	4.59457758845561	1.31609682809352	0.0241146961582769	7.06676377505846	"16178"	"Il1r2"	"interleukin 1 receptor, type II"	"no"	"shared"	"cluster 1"
"ENSMUSG00000025993"	-3.49558430371353	-0.690003234765405	-1.46778643207971	-0.00233862099885354	-1.54167262549067	"53945"	"Slc40a1"	"solute carrier family 40 (iron-regulated transporter), member 1"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000052331"	-1.55535094697039	-0.104819253994755	-0.499204873648149	-0.00113081896642067	-0.322112374826084	"329154"	"Ankrd44"	"ankyrin repeat domain 44"	"no"	"others"	"cluster 7"
"ENSMUSG00000100215"	-0.740244169771778	-0.126190261416861	-1.348545501574	-0.00382230878304162	-0.655674325551098	NA	"15696"	NA	"no"	"others"	"cluster 7"
"ENSMUSG00000026020"	1.89335101129582	0.265120920187963	-0.0266443350935394	0.0343659063655121	0.608674078697074	"55989"	"Nop58"	"NOP58 ribonucleoprotein"	"no"	"others"	"cluster 3"
"ENSMUSG00000025969"	1.5581941109946	0.42956657418908	0.537756457995172	-0.00830814342720283	-0.0975237055823336	"18187"	"Nrp2"	"neuropilin 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000055322"	1.30813680134484	0.720183475683035	0.0216900924137852	0.00247672182156288	0.285165817140189	"21961"	"Tns1"	"tensin 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000006301"	1.59466678737108	0.360801198445196	0.59878973145351	-0.000164883565393449	0.75232761919417	"69660"	"Tmbim1"	"transmembrane BAX inhibitor motif containing 1"	"no"	"others"	"cluster 2"
