id	name	description	classes	genes_external_ids	diseases_ids	drugs_ids	compounds_ids
mmu01100	Metabolic pathways
mmu01200	Carbon metabolism	Carbon metabolism is the most basic aspect of life. This map presents an overall view of central carbon metabolism, where the number of carbons is shown for each compound denoted by a circle, excluding a cofactor (CoA, CoM, THF, or THMPT) that is replaced by an asterisk. The map contains carbon utilization pathways of glycolysis (map00010), pentose phosphate pathway (map00030), and citrate cycle (map00020), and six known carbon fixation pathways (map00710 and map00720) as well as some pathways of methane metabolism (map00680). The six carbon fixation pathways are: (1) reductive pentose phosphate cycle (Calvin cycle) in plants and cyanobacteria that perform oxygenic photosynthesis, (2) reductive citrate cycle in photosynthetic green sulfur bacteria and some chemolithoautotrophs, (3) 3-hydroxypropionate bi-cycle in photosynthetic green nonsulfur bacteria, two variants of 4-hydroxybutyrate pathways in Crenarchaeota called (4) hydroxypropionate-hydroxybutyrate cycle and (5) dicarboxylate-hydroxybutyrate cycle, and (6) reductive acetyl-CoA pathway in methanogenic bacteria.
mmu01210	2-Oxocarboxylic acid metabolism	2-Oxocarboxylic acids, also called 2-oxo acids and alpha-keto acids, are the most elementary set of metabolites that includes pyruvate (2-oxopropanoate), 2-oxobutanoate, oxaloacetate (2-oxosuccinate) and 2-oxoglutarate. This diagram illustrates the architecture of chain extension and modification reaction modules for 2-oxocarboxylic acids. The chain extension module RM001 is a tricarboxylic pathway where acetyl-CoA derived carbon is used to extend the chain length by one. The chain modification modules RM002 (including RM032) and RM033, together with a reductive amination step (RC00006 or RC00036), generate basic and branched-chain amino acids, respectively. The modification module RM030 is used in the biosynthesis of glucosinolates, a class of plant secondary metabolites, for conversion to oxime followed by addition of thio-glucose moiety. Furthermore, the chain extension from 2-oxoadipate to 2-oxosuberate is followed by coenzyme B biosynthesis in methonogenic archaea.
mmu01212	Fatty acid metabolism
mmu01230	Biosynthesis of amino acids	This map presents a modular architecture of the biosynthesis pathways of twenty amino acids, which may be viewed as consisting of the core part and its extensions. The core part is the KEGG module for conversion of three-carbon compounds from glyceraldehyde-3P to pyruvate [MD:M00002], together with the pathways around serine and glycine. This KEGG module is the most conserved one in the KEGG MODULE database and is found in almost all the completely sequenced genomes. The extensions are the pathways containing the reaction modules RM001, RM033, RM032, and RM002 for biosynthesis of branched-chain amino acids (left) and basic amino acids (bottom), and the pathways for biosynthesis of histidine and aromatic amino acids (top right). It is interesting to note that the so-called essential amino acids that cannot be synthesized in human and other organisms generally appear in these extensions. Furthermore, the bottom extension of basic amino acids appears to be most divergent containing multiple pathways for lysine biosynthesis and multiple gene sets for arginine biosynthesis.
mmu01232	Nucleotide metabolism
mmu01250	Biosynthesis of nucleotide sugars
mmu01240	Biosynthesis of cofactors
mmu00010	Glycolysis / Gluconeogenesis	Glycolysis is the process of converting glucose into pyruvate and generating small amounts of ATP (energy) and NADH (reducing power). It is a central pathway that produces important precursor metabolites: six-carbon compounds of glucose-6P and fructose-6P and three-carbon compounds of glycerone-P, glyceraldehyde-3P, glycerate-3P, phosphoenolpyruvate, and pyruvate [MD:M00001]. Acetyl-CoA, another important precursor metabolite, is produced by oxidative decarboxylation of pyruvate [MD:M00307]. When the enzyme genes of this pathway are examined in completely sequenced genomes, the reaction steps of three-carbon compounds from glycerone-P to pyruvate form a conserved core module [MD:M00002], which is found in almost all organisms and which sometimes contains operon structures in bacterial genomes. Gluconeogenesis is a synthesis pathway of glucose from noncarbohydrate precursors. It is essentially a reversal of glycolysis with minor variations of alternative paths [MD:M00003].	Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000000642;10090.ENSMUSP00000051215;10090.ENSMUSP00000097282;10090.ENSMUSP00000020277;10090.ENSMUSP00000099984;10090.ENSMUSP00000049355;10090.ENSMUSP00000020522;10090.ENSMUSP00000059801;10090.ENSMUSP00000117030;10090.ENSMUSP00000090564;10090.ENSMUSP00000021907;10090.ENSMUSP00000084846;10090.ENSMUSP00000029987;10090.ENSMUSP00000099536;10090.ENSMUSP00000077687;10090.ENSMUSP00000079022;10090.ENSMUSP00000130858;10090.ENSMUSP00000113942;10090.ENSMUSP00000074317;10090.ENSMUSP00000080302;10090.ENSMUSP00000033585;10090.ENSMUSP00000011896;10090.ENSMUSP00000020768;10090.ENSMUSP00000075513;10090.ENSMUSP00000004378;10090.ENSMUSP00000072620;10090.ENSMUSP00000062584;10090.ENSMUSP00000034834;10090.ENSMUSP00000035417;10090.ENSMUSP00000033662;10090.ENSMUSP00000060774;10090.ENSMUSP00000022268;10090.ENSMUSP00000034567;10090.ENSMUSP00000106481;10090.ENSMUSP00000103267;10090.ENSMUSP00000032373;10090.ENSMUSP00000014545;10090.ENSMUSP00000139572;10090.ENSMUSP00000004232;10090.ENSMUSP00000087633;10090.ENSMUSP00000013458;10090.ENSMUSP00000005964;10090.ENSMUSP00000030455;10090.ENSMUSP00000031411;10090.ENSMUSP00000073764;10090.ENSMUSP00000041260;10090.ENSMUSP00000133372;10090.ENSMUSP00000028004;10090.ENSMUSP00000019246;10090.ENSMUSP00000056276;10090.ENSMUSP00000115356;10090.ENSMUSP00000136334;10090.ENSMUSP00000028944;10090.ENSMUSP00000029135;10090.ENSMUSP00000040580;10090.ENSMUSP00000061227;10090.ENSMUSP00000084582;10090.ENSMUSP00000019469;10090.ENSMUSP00000005364;10090.ENSMUSP00000077995;10090.ENSMUSP00000026266;10090.ENSMUSP00000047393;10090.ENSMUSP00000025827;10090.ENSMUSP00000029017;10090.ENSMUSP00000038555			C00022;C00024;C00031;C00033;C00036;C00068;C00074;C00084;C00103;C00111;C00118;C00186;C00197;C00221;C00236;C00267;C00469;C00631;C00668;C01159;C01172;C01451;C05125;C05345;C05378;C06186;C06187;C06188;C15972;C15973;C16255
mmu00020	Citrate cycle (TCA cycle)	The citrate cycle (TCA cycle, Krebs cycle) is an important aerobic pathway for the final steps of the oxidation of carbohydrates and fatty acids. The cycle starts with acetyl-CoA, the activated form of acetate, derived from glycolysis and pyruvate oxidation for carbohydrates and from beta oxidation of fatty acids. The two-carbon acetyl group in acetyl-CoA is transferred to the four-carbon compound of oxaloacetate to form the six-carbon compound of citrate. In a series of reactions two carbons in citrate are oxidized to CO2 and the reaction pathway supplies NADH for use in the oxidative phosphorylation and other metabolic processes. The pathway also supplies important precursor metabolites including 2-oxoglutarate. At the end of the cycle the remaining four-carbon part is transformed back to oxaloacetate. According to the genome sequence data, many organisms seem to lack genes for the full cycle [MD:M00009], but contain genes for specific segments [MD:M00010 M00011].	Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000005826;10090.ENSMUSP00000052373;10090.ENSMUSP00000103012;10090.ENSMUSP00000023116;10090.ENSMUSP00000100038;10090.ENSMUSP00000095316;10090.ENSMUSP00000103007;10090.ENSMUSP00000056502;10090.ENSMUSP00000127526;10090.ENSMUSP00000028892;10090.ENSMUSP00000138215;10090.ENSMUSP00000003461;10090.ENSMUSP00000022480;10090.ENSMUSP00000060346;10090.ENSMUSP00000106481;10090.ENSMUSP00000065113;10090.ENSMUSP00000078774;10090.ENSMUSP00000123765;10090.ENSMUSP00000022062;10090.ENSMUSP00000010007;10090.ENSMUSP00000106968;10090.ENSMUSP00000000175;10090.ENSMUSP00000027810;10090.ENSMUSP00000099938;10090.ENSMUSP00000019323;10090.ENSMUSP00000063825;10090.ENSMUSP00000029017;10090.ENSMUSP00000038555;10090.ENSMUSP00000033662;10090.ENSMUSP00000060774;10090.ENSMUSP00000022268;10090.ENSMUSP00000034567			C00022;C00024;C00026;C00036;C00042;C00068;C00074;C00091;C00122;C00149;C00158;C00311;C00417;C05125;C05379;C05381;C15972;C15973;C16254;C16255
