,id,name,category,proteins,p_value,fdr_rate
0,GO:0007586,Digestion,Biological Process (Gene Ontology),"['10090.ENSMUSP00000100038', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000035246']",0.0006673408838903187,0.0494773900724816
1,GO:0009987,Cellular process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000053558', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000007251', '10090.ENSMUSP00000097860', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000036881', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000031445', '10090.ENSMUSP00000080256', '10090.ENSMUSP00000045888', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000037348', '10090.ENSMUSP00000058754', '10090.ENSMUSP00000011492', '10090.ENSMUSP00000034441', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000092702', '10090.ENSMUSP00000063548', '10090.ENSMUSP00000027396', '10090.ENSMUSP00000078593', '10090.ENSMUSP00000116130', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000021666', '10090.ENSMUSP00000031707', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000110172', '10090.ENSMUSP00000040465', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000075507', '10090.ENSMUSP00000113792', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000112538', '10090.ENSMUSP00000007005', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000110729', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000020948', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000112908', '10090.ENSMUSP00000047927', '10090.ENSMUSP00000024733', '10090.ENSMUSP00000038361', '10090.ENSMUSP00000031354', '10090.ENSMUSP00000035458', '10090.ENSMUSP00000068940', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000097743', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000078336', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000035246', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000075011', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000031524', '10090.ENSMUSP00000002549', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000045134', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000043424', '10090.ENSMUSP00000053971', '10090.ENSMUSP00000018841', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000041243', '10090.ENSMUSP00000129169', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000103012', '10090.ENSMUSP00000100038']",0.0006563180187604616,0.0488098661952011
2,GO:0008610,Lipid biosynthetic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099490', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000103012']",0.0006451898305105157,0.04813036482542952
3,path:mmu03320,PPAR signaling pathway,KEGG,"['10090.ENSMUSP00000027153', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000072483']",0.00063983330043039,0.04787854758948151
4,GO:1901606,Alpha-amino acid catabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000034547', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000112908', '10090.ENSMUSP00000031707']",0.0006131236728810464,0.04602235768178538
5,GO:0048871,Multicellular organismal homeostasis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000013995', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000041204']",0.0006097654211167833,0.0459128667551173
6,GO:0042758,Long-chain fatty acid catabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000002084', '10090.ENSMUSP00000027153']",0.0005662804037714945,0.042771866747365696
7,MMU-77111,Synthesis of Ketone Bodies,Reactome Pathways,"['10090.ENSMUSP00000031445', '10090.ENSMUSP00000034547']",0.0005662804037714945,0.042771866747365696
8,GO:0070127,tRNA aminoacylation for mitochondrial protein translation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000034441', '10090.ENSMUSP00000024733']",0.0005662804037714945,0.042771866747365696
9,GO:2000096,"Positive regulation of wnt signaling pathway, planar cell polarity pathway",Biological Process (Gene Ontology),"['10090.ENSMUSP00000075167', '10090.ENSMUSP00000027888']",0.0005662804037714945,0.042771866747365696
10,GO:0006091,Generation of precursor metabolites and energy,Biological Process (Gene Ontology),"['10090.ENSMUSP00000072483', '10090.ENSMUSP00000031707', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000100038']",0.0005582777663928289,0.04270118232188188
11,GO:0065009,Regulation of molecular function,Biological Process (Gene Ontology),"['10090.ENSMUSP00000027888', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000041204']",0.0005476353869798025,0.04202015016921214
12,GO:0055088,Lipid homeostasis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000069495', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000035246']",0.0004925845991052524,0.03791646420501258
13,WP2316,PPAR signaling pathway,WikiPathways,"['10090.ENSMUSP00000027153', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000072483']",0.0004911122206560848,0.03791646420501258
14,MMU-5663213,RHO GTPases Activate WASPs and WAVEs,Reactome Pathways,"['10090.ENSMUSP00000118491', '10090.ENSMUSP00000058754', '10090.ENSMUSP00000075167']",0.0004862678757469573,0.037670174861551144
15,GO:1901682,Sulfur compound transmembrane transporter activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000002084', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000097743']",0.0004453443416494411,0.03461084481564949
16,GO:0140328,Floppase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000009058', '10090.ENSMUSP00000041204']",0.00042662655111865976,0.033263108840445185
17,GO:0030299,Intestinal cholesterol absorption,Biological Process (Gene Ontology),"['10090.ENSMUSP00000069495', '10090.ENSMUSP00000035246']",0.00042662655111865976,0.033263108840445185
18,GO:0016885,"Ligase activity, forming carbon-carbon bonds",Molecular Function (Gene Ontology),"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000099490']",0.00042662655111865976,0.033263108840445185
19,GO:0003997,acyl-CoA oxidase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000027153', '10090.ENSMUSP00000042351']",0.00042662655111865976,0.033263108840445185
20,GO:0071715,Icosanoid transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000097743', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000026208']",0.00040666870010344733,0.03212151137745203
21,GO:1901571,Fatty acid derivative transport,Biological Process (Gene Ontology),"['10090.ENSMUSP00000097743', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000026208']",0.00040666870010344733,0.03212151137745203
22,GO:0031526,Brush border membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000001963', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000041204']",0.00038718809605583376,0.030784000926544416
23,GO:0010565,Regulation of cellular ketone metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099634', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000068940', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000027153']",0.0003825734425436569,0.030517492099934613
24,GO:0031224,Intrinsic component of membrane,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000053558', '10090.ENSMUSP00000007251', '10090.ENSMUSP00000097860', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000140827', '10090.ENSMUSP00000027396', '10090.ENSMUSP00000116130', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000021666', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000110172', '10090.ENSMUSP00000040465', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000075507', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000112538', '10090.ENSMUSP00000020948', '10090.ENSMUSP00000047927', '10090.ENSMUSP00000038361', '10090.ENSMUSP00000031354', '10090.ENSMUSP00000035458', '10090.ENSMUSP00000068940', '10090.ENSMUSP00000097743', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000035246', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000075011', '10090.ENSMUSP00000002549', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000045134', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000126916', '10090.ENSMUSP00000129169', '10090.ENSMUSP00000026208']",0.0003589006526410514,0.028723936338855005
25,GO:0043231,Intracellular membrane-bounded organelle,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000053558', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000043041', '10090.ENSMUSP00000097860', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000036881', '10090.ENSMUSP00000080256', '10090.ENSMUSP00000045888', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000037348', '10090.ENSMUSP00000030795', '10090.ENSMUSP00000011492', '10090.ENSMUSP00000034441', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000092702', '10090.ENSMUSP00000063548', '10090.ENSMUSP00000027396', '10090.ENSMUSP00000078593', '10090.ENSMUSP00000021666', '10090.ENSMUSP00000031707', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000110172', '10090.ENSMUSP00000040465', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000112538', '10090.ENSMUSP00000007005', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000110729', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000038476', '10090.ENSMUSP00000020948', '10090.ENSMUSP00000112908', '10090.ENSMUSP00000047927', '10090.ENSMUSP00000024733', '10090.ENSMUSP00000031354', '10090.ENSMUSP00000035458', '10090.ENSMUSP00000068940', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000075011', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000031524', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000043424', '10090.ENSMUSP00000018841', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000129169', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000103012', '10090.ENSMUSP00000100038']",0.0003579584172006957,0.028723936338855005
26,GO:0016491,Oxidoreductase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000138215', '10090.ENSMUSP00000031707', '10090.ENSMUSP00000112908', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000031524', '10090.ENSMUSP00000043424', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000011492', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000072483']",0.00031103330520452366,0.025058916622644454
27,GO:0090554,Phosphatidylcholine floppase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000009058', '10090.ENSMUSP00000041204']",0.0003061081125694982,0.024744592243494217
28,GO:0006102,Isocitrate metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000023116', '10090.ENSMUSP00000138215']",0.0003061081125694982,0.024744592243494217
29,GO:0016421,CoA carboxylase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000099490']",0.0003061081125694982,0.024744592243494217
30,MMU-163765,ChREBP activates metabolic gene expression,Reactome Pathways,"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000099490']",0.0003061081125694982,0.024744592243494217
31,GO:0006099,Tricarboxylic acid cycle,Biological Process (Gene Ontology),"['10090.ENSMUSP00000023116', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000100038']",0.0003036264254988526,0.024744592243494217
32,GO:0030027,Lamellipodium,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000061893', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000058754', '10090.ENSMUSP00000041243', '10090.ENSMUSP00000078336']",0.00029732554329076375,0.02444339585489034
33,GO:0022600,Digestive system process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000100038', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000035246']",0.0002841520142624301,0.023440116671409335
34,GO:0042592,Homeostatic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000069495', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000031445', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000075507', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000035246']",0.00027572708766508447,0.022823026400222917
35,GO:0016289,CoA hydrolase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000037348', '10090.ENSMUSP00000092702', '10090.ENSMUSP00000080256']",0.0002734337118854042,0.02271097187721725
36,GO:0042537,Benzene-containing compound metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000010795', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000042351']",0.0002734337118854042,0.02271097187721725
37,GO:0007588,Excretion,Biological Process (Gene Ontology),"['10090.ENSMUSP00000069495', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000035246']",0.0002452285828902981,0.020509255530998288
38,MMU-390918,Peroxisomal lipid metabolism,Reactome Pathways,"['10090.ENSMUSP00000002084', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000110172']",0.0002452285828902981,0.020509255530998288
39,GO:0045922,Negative regulation of fatty acid metabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000099642', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000027153']",0.0002452285828902981,0.020509255530998288
40,MMU-189445,Metabolism of porphyrins,Reactome Pathways,"['10090.ENSMUSP00000097743', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000026208']",0.0002452285828902981,0.020509255530998288
41,GO:0046434,Organophosphate catabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000053558', '10090.ENSMUSP00000007251', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000129169']",0.00023530558882192646,0.01995556519938934
42,GO:0051234,Establishment of localization,Biological Process (Gene Ontology),"['10090.ENSMUSP00000097860', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000037348', '10090.ENSMUSP00000027396', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000021666', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000040465', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000075507', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000112538', '10090.ENSMUSP00000110729', '10090.ENSMUSP00000020948', '10090.ENSMUSP00000047927', '10090.ENSMUSP00000031354', '10090.ENSMUSP00000035458', '10090.ENSMUSP00000068940', '10090.ENSMUSP00000097743', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000035246', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000075011', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000100038']",0.00022100251062749096,0.018808558738966395
43,GO:0047617,acyl-CoA hydrolase activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000037348', '10090.ENSMUSP00000092702', '10090.ENSMUSP00000080256']",0.00021895533468791766,0.018700178231120034
44,GO:0043226,Organelle,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000053558', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000043041', '10090.ENSMUSP00000097860', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000036881', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000080256', '10090.ENSMUSP00000045888', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000037348', '10090.ENSMUSP00000058754', '10090.ENSMUSP00000030795', '10090.ENSMUSP00000140827', '10090.ENSMUSP00000011492', '10090.ENSMUSP00000034441', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000092702', '10090.ENSMUSP00000063548', '10090.ENSMUSP00000027396', '10090.ENSMUSP00000078593', '10090.ENSMUSP00000021666', '10090.ENSMUSP00000031707', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000110172', '10090.ENSMUSP00000040465', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000029485', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000075507', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000112538', '10090.ENSMUSP00000007005', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000110729', '10090.ENSMUSP00000138215', '10090.ENSMUSP00000038476', '10090.ENSMUSP00000020948', '10090.ENSMUSP00000112908', '10090.ENSMUSP00000047927', '10090.ENSMUSP00000024733', '10090.ENSMUSP00000038361', '10090.ENSMUSP00000031354', '10090.ENSMUSP00000035458', '10090.ENSMUSP00000068940', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000078336', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000075011', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000031524', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000045134', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000043424', '10090.ENSMUSP00000018841', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000041243', '10090.ENSMUSP00000129169', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000103012', '10090.ENSMUSP00000100038']",0.00021136409677137156,0.018115851840298052
45,MMU-426048,Arachidonate production from DAG,Reactome Pathways,"['10090.ENSMUSP00000053558', '10090.ENSMUSP00000129169']",0.00020499274290221924,0.017632293935753163
46,GO:0034034,Purine nucleoside bisphosphate catabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000002084', '10090.ENSMUSP00000034547']",0.00020499274290221924,0.017632293935753163
