,Unnamed: 0,id,name,category,proteins,p_value,fdr_rate
0,3864,GO:0007586,Digestion,Biological Process (Gene Ontology),"['10090.ENSMUSP00000035246', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000100038']",0.0006673408838903187,0.0494773900724816
1,381,GO:0009987,Cellular process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000001963', '10090.ENSMUSP00000002084', '10090.ENSMUSP00000002549', '10090.ENSMUSP00000007005', '10090.ENSMUSP00000007251', '10090.ENSMUSP00000009058', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000011492', '10090.ENSMUSP00000013995', '10090.ENSMUSP00000015829', '10090.ENSMUSP00000018841', '10090.ENSMUSP00000020948', '10090.ENSMUSP00000021666', '10090.ENSMUSP00000023116', '10090.ENSMUSP00000024733', '10090.ENSMUSP00000026208', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000027396', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000031354', '10090.ENSMUSP00000031445', '10090.ENSMUSP00000031524', '10090.ENSMUSP00000031707', '10090.ENSMUSP00000031822', '10090.ENSMUSP00000033695', '10090.ENSMUSP00000034441', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000035246', '10090.ENSMUSP00000035458', '10090.ENSMUSP00000036881', '10090.ENSMUSP00000037348', '10090.ENSMUSP00000038361', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000040465', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000041243', '10090.ENSMUSP00000042351', '10090.ENSMUSP00000043424', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000045134', '10090.ENSMUSP00000045888', '10090.ENSMUSP00000047927', '10090.ENSMUSP00000053558', '10090.ENSMUSP00000053971', '10090.ENSMUSP00000058754', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000063548', '10090.ENSMUSP00000068940', '10090.ENSMUSP00000069495', '10090.ENSMUSP00000072483', '10090.ENSMUSP00000075011', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000075507', '10090.ENSMUSP00000078336', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000078593', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000080256', '10090.ENSMUSP00000092702', '10090.ENSMUSP00000097743', '10090.ENSMUSP00000097860', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000100038', '10090.ENSMUSP00000103012', '10090.ENSMUSP00000110172', '10090.ENSMUSP00000110729', '10090.ENSMUSP00000112538', '10090.ENSMUSP00000112908', '10090.ENSMUSP00000113792', '10090.ENSMUSP00000116130', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000129169', '10090.ENSMUSP00000138215']",0.0006563180187604616,0.0488098661952011
2,2983,GO:0008610,Lipid biosynthetic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000002084', '10090.ENSMUSP00000029770', '10090.ENSMUSP00000040048', '10090.ENSMUSP00000044134', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000099642', '10090.ENSMUSP00000103012']",0.0006451898305105157,0.04813036482542952
3,109,path:mmu03320,PPAR signaling pathway,KEGG,"['10090.ENSMUSP00000042351', '10090.ENSMUSP00000010795', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000072483']",0.00063983330043039,0.04787854758948151
4,4223,GO:1901606,Alpha-amino acid catabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000031707', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000078436', '10090.ENSMUSP00000112908']",0.0006131236728810464,0.04602235768178538
5,2604,GO:0048871,Multicellular organismal homeostasis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000013995', '10090.ENSMUSP00000027153', '10090.ENSMUSP00000041204', '10090.ENSMUSP00000062037', '10090.ENSMUSP00000099490', '10090.ENSMUSP00000099634', '10090.ENSMUSP00000099642']",0.0006097654211167833,0.0459128667551173
6,6747,GO:0042758,Long-chain fatty acid catabolic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000002084', '10090.ENSMUSP00000027153']",0.0005662804037714945,0.042771866747365696
7,11190,MMU-77111,Synthesis of Ketone Bodies,Reactome Pathways,"['10090.ENSMUSP00000031445', '10090.ENSMUSP00000034547']",0.0005662804037714945,0.042771866747365696
8,8321,GO:0070127,tRNA aminoacylation for mitochondrial protein translation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000024733', '10090.ENSMUSP00000034441']",0.0005662804037714945,0.042771866747365696
9,17528,GO:2000096,"Positive regulation of wnt signaling pathway, planar cell polarity pathway",Biological Process (Gene Ontology),"['10090.ENSMUSP00000027888', '10090.ENSMUSP00000075167']",0.0005662804037714945,0.042771866747365696
