,id,name,category,proteins,p_value,fdr_rate
0,GO:0060348,Bone development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000071770', '10090.ENSMUSP00000126999', '10090.ENSMUSP00000030551', '10090.ENSMUSP00000034756', '10090.ENSMUSP00000028836', '10090.ENSMUSP00000075425', '10090.ENSMUSP00000051331', '10090.ENSMUSP00000104511', '10090.ENSMUSP00000074965', '10090.ENSMUSP00000096555', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000109502', '10090.ENSMUSP00000006626', '10090.ENSMUSP00000084701', '10090.ENSMUSP00000127128', '10090.ENSMUSP00000029948', '10090.ENSMUSP00000117686', '10090.ENSMUSP00000105413', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000033741']",0.005887524574650966,0.04953061920268494
1,GO:0150034,Distal axon,Cellular Component (Gene Ontology),"['10090.ENSMUSP00000025239', '10090.ENSMUSP00000099584', '10090.ENSMUSP00000004774', '10090.ENSMUSP00000137931', '10090.ENSMUSP00000139759', '10090.ENSMUSP00000086948', '10090.ENSMUSP00000076933', '10090.ENSMUSP00000071486', '10090.ENSMUSP00000027852', '10090.ENSMUSP00000103312', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000013304', '10090.ENSMUSP00000083656', '10090.ENSMUSP00000106709', '10090.ENSMUSP00000029266', '10090.ENSMUSP00000020420', '10090.ENSMUSP00000118491', '10090.ENSMUSP00000098066', '10090.ENSMUSP00000043092', '10090.ENSMUSP00000067057', '10090.ENSMUSP00000005406', '10090.ENSMUSP00000140116', '10090.ENSMUSP00000059705', '10090.ENSMUSP00000052258', '10090.ENSMUSP00000003345', '10090.ENSMUSP00000057989', '10090.ENSMUSP00000006467', '10090.ENSMUSP00000099922', '10090.ENSMUSP00000027690', '10090.ENSMUSP00000036203', '10090.ENSMUSP00000078337', '10090.ENSMUSP00000106534']",0.005804137372874237,0.04884610038383367
2,GO:0004857,Enzyme inhibitor activity,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000119242', '10090.ENSMUSP00000025239', '10090.ENSMUSP00000023583', '10090.ENSMUSP00000013949', '10090.ENSMUSP00000035551', '10090.ENSMUSP00000140049', '10090.ENSMUSP00000137931', '10090.ENSMUSP00000104503', '10090.ENSMUSP00000034756', '10090.ENSMUSP00000030041', '10090.ENSMUSP00000032203', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000050995', '10090.ENSMUSP00000128483', '10090.ENSMUSP00000002360', '10090.ENSMUSP00000138333', '10090.ENSMUSP00000005824', '10090.ENSMUSP00000064282', '10090.ENSMUSP00000030280', '10090.ENSMUSP00000034586', '10090.ENSMUSP00000034588', '10090.ENSMUSP00000005406', '10090.ENSMUSP00000104091', '10090.ENSMUSP00000025561', '10090.ENSMUSP00000007803', '10090.ENSMUSP00000079124', '10090.ENSMUSP00000079379', '10090.ENSMUSP00000115173', '10090.ENSMUSP00000095866']",0.005803538348504441,0.04884610038383367
3,GO:0045664,Regulation of neuron differentiation,Biological Process (Gene Ontology),"['10090.ENSMUSP00000025239', '10090.ENSMUSP00000000137', '10090.ENSMUSP00000083840', '10090.ENSMUSP00000020243', '10090.ENSMUSP00000099534', '10090.ENSMUSP00000126999', '10090.ENSMUSP00000134825', '10090.ENSMUSP00000023769', '10090.ENSMUSP00000137931', '10090.ENSMUSP00000055862', '10090.ENSMUSP00000088964', '10090.ENSMUSP00000028836', '10090.ENSMUSP00000104533', '10090.ENSMUSP00000058754', '10090.ENSMUSP00000059159', '10090.ENSMUSP00000093939', '10090.ENSMUSP00000012281', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000103312', '10090.ENSMUSP00000084005', '10090.ENSMUSP00000133302', '10090.ENSMUSP00000023268', '10090.ENSMUSP00000026436', '10090.ENSMUSP00000029694', '10090.ENSMUSP00000063839', '10090.ENSMUSP00000079905', '10090.ENSMUSP00000067057', '10090.ENSMUSP00000023610', '10090.ENSMUSP00000093270', '10090.ENSMUSP00000009143', '10090.ENSMUSP00000024099', '10090.ENSMUSP00000001780', '10090.ENSMUSP00000098903', '10090.ENSMUSP00000005406', '10090.ENSMUSP00000052919', '10090.ENSMUSP00000140116', '10090.ENSMUSP00000051049', '10090.ENSMUSP00000084701', '10090.ENSMUSP00000127842', '10090.ENSMUSP00000059705', '10090.ENSMUSP00000057989', '10090.ENSMUSP00000023151', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000047353', '10090.ENSMUSP00000034754', '10090.ENSMUSP00000137503', '10090.ENSMUSP00000067953', '10090.ENSMUSP00000101164', '10090.ENSMUSP00000028341', '10090.ENSMUSP00000116231', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000075242', '10090.ENSMUSP00000071798', '10090.ENSMUSP00000108371']",0.005771096024487843,0.04860187836650564
4,GO:0005126,Cytokine receptor binding,Molecular Function (Gene Ontology),"['10090.ENSMUSP00000067953', '10090.ENSMUSP00000028955', '10090.ENSMUSP00000033846', '10090.ENSMUSP00000022921', '10090.ENSMUSP00000043153', '10090.ENSMUSP00000057989']",0.005762249397547579,0.04854428997515684
5,GO:1904035,Regulation of epithelial cell apoptotic process,Biological Process (Gene Ontology),"['10090.ENSMUSP00000015596', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000025910', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000104208', '10090.ENSMUSP00000071770', '10090.ENSMUSP00000027499', '10090.ENSMUSP00000021635', '10090.ENSMUSP00000002360', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000022921']",0.0057577627045956635,0.048523404661812125
6,GO:0001656,Metanephros development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000130359', '10090.ENSMUSP00000086592', '10090.ENSMUSP00000004774', '10090.ENSMUSP00000100045', '10090.ENSMUSP00000023752', '10090.ENSMUSP00000009143', '10090.ENSMUSP00000058846', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000034547', '10090.ENSMUSP00000023593', '10090.ENSMUSP00000108371']",0.0057577627045956635,0.048523404661812125
7,GO:0060541,Respiratory system development,Biological Process (Gene Ontology),"['10090.ENSMUSP00000017841', '10090.ENSMUSP00000126108', '10090.ENSMUSP00000020243', '10090.ENSMUSP00000034723', '10090.ENSMUSP00000025250', '10090.ENSMUSP00000034000', '10090.ENSMUSP00000001963', '10090.ENSMUSP00000112616', '10090.ENSMUSP00000035900', '10090.ENSMUSP00000040171', '10090.ENSMUSP00000137439', '10090.ENSMUSP00000099904', '10090.ENSMUSP00000020161', '10090.ENSMUSP00000058840', '10090.ENSMUSP00000015278', '10090.ENSMUSP00000022196', '10090.ENSMUSP00000031613', '10090.ENSMUSP00000090850', '10090.ENSMUSP00000084701', '10090.ENSMUSP00000105413', '10090.ENSMUSP00000073720', '10090.ENSMUSP00000088774']",0.005752615557848619,0.048513858350733116
8,GO:0003203,Endocardial cushion morphogenesis,Biological Process (Gene Ontology),"['10090.ENSMUSP00000012281', '10090.ENSMUSP00000088453', '10090.ENSMUSP00000009143', '10090.ENSMUSP00000035900', '10090.ENSMUSP00000028836', '10090.ENSMUSP00000000542']",0.0057511145654588905,0.048513858350733116
9,GO:1900274,Regulation of phospholipase c activity,Biological Process (Gene Ontology),"['10090.ENSMUSP00000053703', '10090.ENSMUSP00000027888', '10090.ENSMUSP00000066488', '10090.ENSMUSP00000075167', '10090.ENSMUSP00000063784', '10090.ENSMUSP00000027690']",0.0057511145654588905,0.048513858350733116
10,MMU-432040,Vasopressin regulates renal water homeostasis via Aquaporins,Reactome Pathways,"['10090.ENSMUSP00000055110', '10090.ENSMUSP00000004774', '10090.ENSMUSP00000035551', '10090.ENSMUSP00000023752', '10090.ENSMUSP00000033765', '10090.ENSMUSP00000078088']",0.0057511145654588905,0.048513858350733116
